2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	44.0521, 	-60, 	26.1534, 	1, 	1.52
2, 	44.0521, 	57, 	0, 	0, 	1.52
2, 	16.8018, 	36, 	0, 	0, 	1.52
2, 	16.8018, 	17, 	12.4948, 	0, 	3.04
2, 	49.2717, 	39, 	17.1451, 	1, 	2.28
1, 	49.2717, 	57, 	14.6525, 	1, 	1.824
2, 	17.7394, 	57, 	11.7716, 	0, 	1.824
2, 	17.7394, 	31, 	20.9238, 	1, 	1.73714
1, 	17.7394, 	31, 	12.3846, 	0, 	1.73714
1, 	17.7394, 	31, 	15.1742, 	1, 	1.35111
1, 	17.7394, 	31, 	0, 	0, 	1.35111
2, 	17.7394, 	31, 	16.2334, 	1, 	1.52
2, 	17.7394, 	31, 	15.6295, 	1, 	1.52
2, 	17.7394, 	31, 	15.6295, 	1, 	1.52
2, 	18.6818, 	31, 	19.3585, 	1, 	1.824
2, 	18.6818, 	19, 	16.7701, 	1, 	1.824
2, 	19.6296, 	41, 	15.7782, 	1, 	2.128
2, 	19.6296, 	41, 	18.1909, 	1, 	2.432
2, 	19.6296, 	41, 	18.7634, 	1, 	2.432
2, 	19.6296, 	41, 	13.8712, 	1, 	2.736
2, 	18.6818, 	19, 	0, 	0, 	2.736
2, 	18.6818, 	19, 	15.5538, 	0, 	2.736
2, 	17.7394, 	19, 	18.2615, 	1, 	2.736
1, 	17.7394, 	31, 	16.2126, 	1, 	2.432
1, 	17.7394, 	31, 	0, 	0, 	2.432
2, 	17.7394, 	31, 	20.2551, 	1, 	2.432
2, 	17.7394, 	31, 	0, 	0, 	2.432
2, 	18.6818, 	19, 	20.2551, 	1, 	2.432
2, 	18.6818, 	19, 	18.7332, 	1, 	2.432
2, 	17.7394, 	19, 	19.9364, 	1, 	2.432
2, 	17.7394, 	31, 	19.8504, 	1, 	2.432
2, 	16.8018, 	39, 	0, 	0, 	2.432
2, 	16.8018, 	36, 	19.8504, 	1, 	2.736
2, 	15.8689, 	36, 	20.2439, 	1, 	2.736
2, 	15.8689, 	28, 	20.6812, 	1, 	3.04
2, 	36.9819, 	56, 	21.4227, 	1, 	3.04
2, 	36.9819, 	56, 	0, 	0, 	3.04
2, 	16.8018, 	56, 	21.4227, 	0, 	2.736
2, 	16.8018, 	36, 	20.646, 	1, 	2.432
1, 	16.8018, 	36, 	20.3676, 	1, 	2.128
1, 	16.8018, 	36, 	0, 	0, 	2.128
2, 	31.5631, 	36, 	21.1885, 	1, 	2.128
2, 	31.5631, 	27, 	0, 	0, 	2.128
2, 	15.8689, 	27, 	20.6748, 	1, 	2.128
2, 	15.8689, 	28, 	21.6247, 	1, 	2.128
2, 	15.8689, 	28, 	22.8888, 	1, 	2.128
2, 	15.8689, 	28, 	21.3751, 	1, 	2.128
2, 	15.8689, 	28, 	0, 	0, 	2.128
2, 	15.8689, 	28, 	22.1366, 	1, 	2.128
2, 	15.8689, 	28, 	22.2731, 	1, 	2.432
2, 	14.0157, 	28, 	20.1121, 	1, 	2.736
2, 	14.0157, 	40, 	20.1852, 	1, 	2.736
2, 	13.0948, 	40, 	18.73, 	1, 	3.04
2, 	13.0948, 	24, 	0, 	0, 	3.04
2, 	14.9403, 	35, 	20.2234, 	1, 	3.04
2, 	14.9403, 	12, 	19.2582, 	1, 	3.04
2, 	10.3516, 	31, 	21.7469, 	1, 	3.04
2, 	10.3516, 	31, 	21.9276, 	1, 	3.04
2, 	7.63215, 	31, 	0, 	0, 	3.04
2, 	7.63215, 	34, 	21.9128, 	1, 	3.04
2, 	7.63215, 	34, 	21.699, 	1, 	3.04
2, 	6.72981, 	34, 	21.3494, 	1, 	3.04
2, 	6.72981, 	1, 	20.4107, 	0, 	3.04
2, 	0.447628, 	1, 	18.9083, 	0, 	2.736
2, 	0.447628, 	-28, 	0, 	0, 	2.736
1, 	0.447628, 	-25, 	21.5434, 	1, 	1.824
1, 	14.9403, 	-25, 	21.1822, 	1, 	1.52
1, 	14.9403, 	12, 	0, 	0, 	1.52
2, 	14.9403, 	12, 	21.3, 	1, 	1.52
2, 	14.9403, 	12, 	24.4764, 	1, 	1.52
2, 	14.9403, 	12, 	0, 	0, 	1.52
2, 	14.9403, 	27, 	23.0795, 	1, 	1.52
2, 	13.0948, 	27, 	22.8853, 	1, 	1.52
2, 	13.0948, 	35, 	21.4502, 	1, 	1.52
2, 	4.03194, 	35, 	22.2073, 	1, 	1.824
2, 	4.03194, 	30, 	22.8858, 	1, 	2.128
2, 	47.9181, 	8, 	0, 	0, 	2.128
2, 	47.9181, 	8, 	22.6754, 	1, 	2.432
2, 	47.9181, 	8, 	23.556, 	1, 	2.736
2, 	7.63215, 	8, 	22.7297, 	1, 	3.04
2, 	7.63215, 	34, 	22.0853, 	1, 	3.04
