(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:15:19.323, 	0, 	1, 	12.4207, 	8.69442, 	1, 	4, 	2.432, 	(-0.285955,0.646257);(0.159629,-0.910321);(0.196976,0.235237);(-0.183085,-0.119341);
15:15:34.776, 	1, 	2, 	14.7141, 	13.1483, 	1, 	8, 	2.128, 	(0.0956961,-0.0408137);
15:15:34.796, 	1, 	2, 	13.797, 	16.7652, 	1, 	8, 	2.128, 	(-0.0644027,-0.105141);
15:15:34.816, 	1, 	2, 	14.3984, 	17.936, 	1, 	8, 	2.432, 	(0.00708014,-0.113796);
15:15:34.836, 	1, 	2, 	16.7127, 	17.8049, 	1, 	8, 	2.432, 	(-0.180481,0.00581293);
15:15:34.870, 	1, 	2, 	14.0276, 	15.9532, 	1, 	8, 	2.736, 	(-0.102691,-0.110538);
15:15:34.877, 	1, 	2, 	14.9285, 	18.2604, 	1, 	8, 	2.736, 	(0.0502984,-0.101419);
15:15:34.897, 	1, 	2, 	15.7322, 	17.8396, 	1, 	8, 	2.736, 	(-0.172199,0.00249716);
15:15:34.917, 	1, 	2, 	15.9183, 	17.4832, 	1, 	8, 	2.736, 	(-0.167796,0.0492489);
15:15:34.937, 	1, 	2, 	15.7613, 	16.7535, 	1, 	8, 	2.736, 	(0.09746,0.0501436);
15:15:34.970, 	1, 	2, 	15.9555, 	18.1983, 	1, 	8, 	3.04, 	(0.108763,0.163133);
15:15:34.978, 	1, 	2, 	14.7287, 	16.817, 	1, 	8, 	3.04, 	(0.0883162,0.14506);
15:15:34.998, 	1, 	2, 	15.4442, 	17.7385, 	1, 	8, 	3.04, 	(0.0933025,-0.0999317);
15:15:35.018, 	1, 	2, 	15.5004, 	18.215, 	1, 	8, 	3.04, 	(0.147354,-0.121709);
15:15:35.038, 	1, 	2, 	17.6938, 	17.7978, 	1, 	8, 	3.04, 	(-0.13597,-0.0821766);
15:15:35.070, 	1, 	2, 	16.6246, 	17.5665, 	1, 	8, 	3.04, 	(0.129651,0.0243893);
15:15:35.078, 	1, 	2, 	17.925, 	18.1832, 	1, 	8, 	3.04, 	(0.00766775,0.117021);
15:15:35.098, 	1, 	2, 	15.3485, 	17.4333, 	1, 	8, 	3.04, 	(-0.0363441,-0.21307);
15:15:35.119, 	1, 	2, 	17.4386, 	19.0707, 	1, 	4, 	3.04, 	(0.129965,0.103723);
15:15:35.139, 	1, 	2, 	18.0332, 	20.7105, 	1, 	4, 	3.04, 	(-0.0654209,-0.122074);
15:15:35.178, 	1, 	2, 	17.3878, 	18.6016, 	1, 	4, 	3.04, 	(0.0158799,-0.209836);
15:15:35.185, 	1, 	2, 	16.163, 	18.4554, 	1, 	4, 	3.04, 	(-0.0772933,-0.170576);
15:15:35.199, 	1, 	2, 	17.527, 	18.1402, 	1, 	4, 	3.04, 	(0.127854,-0.158355);
15:15:35.220, 	1, 	2, 	16.3981, 	21.2726, 	1, 	4, 	3.04, 	(0.224535,-0.0570886);
15:15:35.240, 	1, 	2, 	17.4913, 	19.4123, 	1, 	4, 	3.04, 	(0.24235,-0.020569);
15:15:35.270, 	1, 	2, 	17.1673, 	19.9508, 	1, 	-1.38778e-15, 	3.04, 	(0.125358,0.0708762);
15:15:35.280, 	1, 	2, 	17.2618, 	19.9399, 	1, 	-1.38778e-15, 	3.04, 	(0.250144,0.106501);
15:15:35.301, 	1, 	2, 	20.3143, 	21.6152, 	1, 	-1.38778e-15, 	3.04, 	(0.153248,-0.174462);
15:15:35.320, 	1, 	2, 	19.5296, 	20.4647, 	1, 	-1.38778e-15, 	3.04, 	(0.112529,0.264534);
15:15:35.340, 	1, 	2, 	19.395, 	20.9417, 	1, 	-1.38778e-15, 	3.04, 	(0.185666,-0.204126);
15:15:35.375, 	1, 	2, 	18.575, 	20.1784, 	1, 	-1.38778e-15, 	3.04, 	(0.298857,0.00800777);
15:15:35.381, 	1, 	2, 	19.0689, 	21.6655, 	1, 	-1.38778e-15, 	3.04, 	(0.234033,-0.127668);
15:15:35.401, 	1, 	2, 	19.9517, 	20.1454, 	1, 	-1.38778e-15, 	3.04, 	(0.103778,-0.0889051);
15:15:35.425, 	1, 	2, 	20.9648, 	18.5569, 	1, 	-1.38778e-15, 	3.04, 	(0.0426584,0.167439);
15:15:35.441, 	1, 	2, 	20.394, 	21.6717, 	1, 	-1.38778e-15, 	3.04, 	(0.283364,0.0582226);
15:15:35.470, 	1, 	2, 	20.537, 	21.6209, 	1, 	-1.38778e-15, 	3.04, 	(-0.273736,-0.0591222);
15:15:35.482, 	1, 	2, 	17.7661, 	20.5744, 	1, 	-1.38778e-15, 	3.04, 	(-0.137346,0.271562);
15:15:35.502, 	1, 	2, 	20.9514, 	22.6029, 	1, 	-1.38778e-15, 	3.04, 	(-0.317511,-0.0503136);
15:15:35.522, 	1, 	2, 	21.3804, 	19.9653, 	1, 	-1.38778e-15, 	3.04, 	(-0.243972,0.0859866);
15:15:35.542, 	1, 	2, 	19.7023, 	21.1023, 	1, 	-1.38778e-15, 	3.04, 	(-0.121012,0.256057);
15:15:35.583, 	1, 	2, 	20.6335, 	20.7256, 	1, 	-1.38778e-15, 	3.04, 	(0.273481,-0.0698486);
15:15:35.602, 	1, 	2, 	21.6592, 	20.4141, 	1, 	-1.38778e-15, 	3.04, 	(0.0130918,0.263069);
15:15:35.623, 	1, 	2, 	20.7346, 	21.6764, 	1, 	-1.38778e-15, 	3.04, 	(-0.159216,0.169474);
15:15:35.643, 	1, 	2, 	21.2139, 	20.9264, 	1, 	-1.38778e-15, 	3.04, 	(0.29453,0.071988);
15:15:35.669, 	1, 	2, 	21.1348, 	20.7488, 	1, 	-1.38778e-15, 	3.04, 	(-0.254332,0.114391);
15:15:35.683, 	1, 	2, 	20.6445, 	21.3685, 	1, 	-1.38778e-15, 	3.04, 	(0.0607551,0.225951);
15:15:35.704, 	1, 	2, 	21.8577, 	21.433, 	1, 	-1.38778e-15, 	3.04, 	(-0.0238318,-0.19482);
15:15:35.723, 	1, 	2, 	22.1359, 	22.8654, 	1, 	-1.38778e-15, 	3.04, 	(-0.112388,-0.325327);
15:15:35.744, 	1, 	2, 	19.9402, 	21.1547, 	1, 	-1.38778e-15, 	3.04, 	(-0.0731367,-0.366866);
15:15:35.778, 	1, 	2, 	21.8897, 	24.0422, 	1, 	-1.38778e-15, 	3.04, 	(0.24674,-0.308243);
15:15:35.786, 	1, 	2, 	22.6065, 	22.7213, 	1, 	-1.38778e-15, 	3.04, 	(-0.202634,0.0520644);
15:15:35.804, 	1, 	2, 	21.6885, 	21.347, 	1, 	-1.38778e-15, 	3.04, 	(-0.346786,-0.0851818);
15:15:35.824, 	1, 	2, 	22.6753, 	21.1849, 	1, 	-1.38778e-15, 	3.04, 	(0.245464,-0.0916481);
15:15:35.845, 	1, 	2, 	23.0167, 	19.802, 	1, 	-1.38778e-15, 	3.04, 	(0.150807,0.245645);
15:15:35.870, 	1, 	2, 	23.184, 	23.1549, 	1, 	-1.38778e-15, 	3.04, 	(-0.0202476,0.348233);
15:15:35.885, 	1, 	2, 	22.3071, 	22.8782, 	1, 	-1.38778e-15, 	3.04, 	(0.310756,0.262986);
15:15:35.905, 	1, 	2, 	23.0046, 	22.4445, 	1, 	-1.38778e-15, 	3.04, 	(-0.395673,-0.0543231);
15:15:35.925, 	1, 	2, 	23.9336, 	22.7666, 	1, 	-1.38778e-15, 	3.04, 	(0.291105,0.247789);
15:15:35.945, 	1, 	2, 	20.5046, 	23.082, 	1, 	-1.38778e-15, 	3.04, 	(-0.423755,-0.0953349);
15:15:35.969, 	1, 	2, 	23.5543, 	23.2581, 	1, 	-1.38778e-15, 	3.04, 	(-0.216491,0.16018);
15:15:35.986, 	1, 	2, 	18.2503, 	21.9667, 	1, 	-1.38778e-15, 	3.04, 	(0.257854,-0.270009);
15:15:36.006, 	1, 	2, 	20.915, 	22.8025, 	1, 	-1.38778e-15, 	3.04, 	(-0.354365,-0.251979);
15:15:36.026, 	1, 	2, 	24.5221, 	23.3843, 	1, 	-1.38778e-15, 	3.04, 	(-0.235871,0.153796);
15:15:36.046, 	1, 	2, 	23.9962, 	23.215, 	1, 	-1.38778e-15, 	3.04, 	(0.0089528,-0.404454);
15:15:36.070, 	1, 	2, 	21.3023, 	22.418, 	1, 	-1.38778e-15, 	3.04, 	(0.366331,0.102876);
15:15:36.086, 	1, 	2, 	23.9499, 	21.4995, 	1, 	-1.38778e-15, 	3.04, 	(-0.186326,0.0648453);
15:15:36.107, 	1, 	2, 	24.8944, 	20.4155, 	1, 	-1.38778e-15, 	3.04, 	(0.272146,-0.00458559);
15:15:36.126, 	1, 	2, 	22.2664, 	20.1724, 	1, 	-1.38778e-15, 	3.04, 	(-0.0398302,-0.255519);
15:15:36.147, 	1, 	2, 	23.8416, 	20.3805, 	1, 	-1.38778e-15, 	3.04, 	(0.163903,0.203373);
15:15:36.170, 	0, 	2, 	24.7904, 	22.1755, 	1, 	-1.38778e-15, 	3.04, 	(0.0942933,-0.238393);
15:15:36.187, 	1, 	2, 	20.2127, 	22.1755, 	1, 	4, 	2.736, 	(0.0942933,-0.238393);
15:15:36.204, 	1, 	1, 	25.4195, 	21.6208, 	0, 	4, 	2.432, 	(-0.578913,0.667129);(-1.05349,-0.339066);(-0.410061,-0.752036);(0.0292551,-0.974219);
