2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	21.5423, 	-60, 	26.1534, 	1, 	1.52
2, 	36.9819, 	28, 	0, 	0, 	1.52
2, 	36.9819, 	28, 	-0.982158, 	0, 	2.736
1, 	23.4805, 	53, 	7.57185, 	0, 	2.432
1, 	23.4805, 	53, 	0, 	0, 	2.432
1, 	50.6636, 	53, 	6.34445, 	0, 	2.128
1, 	11.263, 	27, 	0, 	0, 	2.128
1, 	11.263, 	17, 	13.3452, 	1, 	1.216
1, 	11.263, 	17, 	8.35861, 	0, 	1.216
1, 	24.4603, 	17, 	12.3026, 	1, 	0.608
1, 	24.4603, 	32, 	5.07515, 	0, 	0.608
2, 	40.4239, 	32, 	16.5011, 	1, 	0.608
1, 	40.4239, 	37, 	10.6707, 	1, 	0.304
2, 	9.44278, 	37, 	15.7186, 	1, 	0.608
2, 	9.44278, 	14, 	15.646, 	1, 	0.912
2, 	32.6198, 	3, 	0, 	0, 	0.912
2, 	34.772, 	3, 	12.6872, 	0, 	1.52
1, 	34.772, 	15, 	15.8252, 	1, 	1.52
1, 	34.772, 	15, 	16.6587, 	1, 	1.52
1, 	12.1773, 	27, 	0, 	0, 	1.52
2, 	14.0157, 	27, 	17.984, 	1, 	2.128
2, 	14.0157, 	32, 	17.0735, 	1, 	2.128
2, 	14.0157, 	32, 	17.2581, 	1, 	2.128
2, 	16.8018, 	32, 	18.4584, 	1, 	2.128
2, 	16.8018, 	20, 	16.7426, 	1, 	2.128
2, 	16.8018, 	20, 	20.1013, 	1, 	2.432
2, 	15.8689, 	20, 	17.6943, 	1, 	2.736
2, 	15.8689, 	23, 	19.1868, 	1, 	3.04
2, 	14.0157, 	32, 	18.9369, 	1, 	3.04
2, 	13.0948, 	32, 	18.0585, 	1, 	3.04
2, 	13.0948, 	30, 	19.3187, 	1, 	3.04
2, 	13.0948, 	30, 	21.2588, 	1, 	3.04
2, 	10.3516, 	30, 	21.798, 	1, 	3.04
2, 	10.3516, 	33, 	21.8213, 	1, 	3.04
2, 	10.3516, 	33, 	21.2433, 	1, 	3.04
2, 	11.263, 	33, 	21.0262, 	1, 	3.04
2, 	11.263, 	17, 	19.3187, 	1, 	3.04
2, 	9.44278, 	34, 	0, 	0, 	3.04
2, 	9.44278, 	4, 	20.4313, 	1, 	3.04
2, 	9.44278, 	4, 	20.8529, 	1, 	3.04
2, 	9.44278, 	4, 	21.1306, 	1, 	3.04
2, 	9.44278, 	4, 	22.6755, 	1, 	3.04
2, 	9.44278, 	4, 	21.4176, 	1, 	3.04
2, 	7.63215, 	4, 	23.4576, 	1, 	3.04
2, 	7.63215, 	19, 	22.6106, 	1, 	3.04
2, 	5.82915, 	19, 	24.6542, 	1, 	3.04
2, 	5.82915, 	33, 	21.2164, 	0, 	3.04
1, 	5.82915, 	33, 	19.9431, 	1, 	2.432
2, 	5.82915, 	33, 	22.6728, 	1, 	2.432
2, 	5.82915, 	33, 	22.2031, 	1, 	2.432
2, 	4.92994, 	33, 	20.1876, 	0, 	2.432
2, 	4.92994, 	0, 	22.1869, 	1, 	2.128
1, 	4.92994, 	0, 	26.8753, 	1, 	1.824
2, 	3.13493, 	0, 	24.9401, 	1, 	1.824
2, 	3.13493, 	20, 	22.0053, 	1, 	1.824
2, 	3.13493, 	20, 	0, 	0, 	1.824
2, 	3.13493, 	20, 	25.2758, 	1, 	2.128
2, 	-1.34299, 	20, 	22.4426, 	1, 	2.432
2, 	-1.34299, 	-15, 	24.7278, 	1, 	2.432
2, 	-2.23869, 	-15, 	22.2952, 	1, 	2.432
2, 	-0.447628, 	-15, 	20.9405, 	1, 	2.736
2, 	-0.447628, 	-9, 	24.719, 	1, 	3.04
2, 	-1.34299, 	-9, 	25.2555, 	1, 	3.04
2, 	-1.34299, 	-15, 	23.2364, 	1, 	3.04
2, 	-2.23869, 	-15, 	21.4558, 	1, 	3.04
2, 	-2.23869, 	-15, 	23.4071, 	1, 	3.04
2, 	-3.13493, 	-15, 	24.0497, 	1, 	3.04
2, 	-3.13493, 	-8, 	23.2335, 	1, 	3.04
2, 	-3.13493, 	-8, 	25.726, 	1, 	3.04
2, 	-3.13493, 	-8, 	26.3044, 	1, 	3.04
2, 	-3.13493, 	-8, 	25.2463, 	1, 	3.04
2, 	-3.13493, 	-8, 	26.8398, 	1, 	3.04
