(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:51:52.505, 	1, 	2, 	15.2782, 	18.7902, 	1, 	0, 	3.04, 	(0.000927879,0.204148);
14:51:52.526, 	0, 	2, 	13.062, 	12.4948, 	1, 	0, 	3.04, 	(-0.0493162,0.0520952);
14:51:52.545, 	1, 	2, 	12.1954, 	17.1451, 	1, 	25, 	2.28, 	(-0.0576157,0.0508502);
14:51:52.571, 	1, 	1, 	13.5731, 	14.6525, 	0, 	20, 	1.824, 	(-0.226706,-0.124785);(0.362651,-0.155063);(0.0645044,0.142061);(-0.106581,0.0680622);
14:51:52.586, 	0, 	2, 	11.2971, 	11.7716, 	0, 	20, 	1.824, 	(-0.038178,-0.00774071);
14:51:52.606, 	1, 	2, 	15.3164, 	20.9238, 	1, 	28.5714, 	1.73714, 	(-0.130743,0.173511);
14:51:52.619, 	0, 	1, 	12.9123, 	12.3846, 	1, 	28.5714, 	1.73714, 	(0.0373422,0.0345257);(-0.0204165,0.226197);(-0.185255,-0.111176);(0.10442,-0.204119);
14:51:52.640, 	1, 	1, 	14.9199, 	15.1742, 	0, 	33.3333, 	1.35111, 	(0.543427,-0.0389097);(-0.415684,0.454326);(-0.228968,-0.198012);(0.0383486,-0.13281);
14:51:52.680, 	1, 	2, 	14.1787, 	16.2334, 	1, 	30, 	1.52, 	(-0.084432,0.0429341);
14:51:52.687, 	1, 	2, 	14.4637, 	15.6295, 	1, 	27.2727, 	1.52, 	(-0.0548011,-0.133204);
14:51:52.707, 	1, 	2, 	14.7538, 	15.6295, 	1, 	25, 	1.52, 	(-0.0548011,-0.133204);
14:51:52.727, 	1, 	2, 	14.8881, 	19.3585, 	1, 	23.0769, 	1.824, 	(-0.0153258,-0.148241);
14:51:52.747, 	1, 	2, 	15.3044, 	16.7701, 	1, 	21.4286, 	1.824, 	(0.13656,-0.0594568);
14:51:52.771, 	1, 	2, 	14.0473, 	15.7782, 	1, 	20, 	2.128, 	(0.140626,-0.0162171);
14:51:52.787, 	1, 	2, 	15.2521, 	18.1909, 	1, 	18.75, 	2.432, 	(-0.160015,0.0510851);
14:51:52.808, 	1, 	2, 	15.5952, 	18.7634, 	1, 	17.6471, 	2.432, 	(0.149186,0.124439);
14:51:52.828, 	1, 	2, 	13.6753, 	13.8712, 	1, 	16.6667, 	2.736, 	(-0.0287781,0.123032);
14:51:52.870, 	0, 	2, 	13.6304, 	15.5538, 	1, 	16.6667, 	2.736, 	(0.114455,0.0291444);
14:51:52.889, 	1, 	2, 	15.7057, 	18.2615, 	1, 	20, 	2.736, 	(-0.0655796,0.0674455);
14:51:52.902, 	1, 	1, 	15.5966, 	16.2126, 	0, 	19.0476, 	2.432, 	(-0.423834,0.0430025);(0.123656,-0.439901);(0.263918,-0.0328492);(0.137735,0.231579);
14:51:52.928, 	1, 	2, 	16.9537, 	20.2551, 	1, 	18.1818, 	2.432, 	(0.106993,-0.143953);
14:51:52.971, 	1, 	2, 	17.4251, 	20.2551, 	1, 	17.3913, 	2.432, 	(0.106993,-0.143953);
14:51:52.971, 	1, 	2, 	17.4334, 	20.2551, 	1, 	16.6667, 	2.432, 	(0.106993,-0.143953);
14:51:52.988, 	1, 	2, 	16.7712, 	18.7332, 	1, 	16, 	2.432, 	(-0.241876,0.0203111);
14:51:53.009, 	1, 	2, 	17.5639, 	19.9364, 	1, 	16, 	2.432, 	(0.0920504,0.14949);
14:51:53.029, 	1, 	2, 	18.4893, 	19.8504, 	1, 	16, 	2.432, 	(0.00579668,0.144132);
14:51:53.070, 	1, 	2, 	17.0108, 	19.8504, 	1, 	12, 	2.432, 	(0.00579668,0.144132);
14:51:53.071, 	1, 	2, 	18.1991, 	19.8504, 	1, 	12, 	2.736, 	(0.00579668,0.144132);
14:51:53.090, 	1, 	2, 	19.3809, 	20.2439, 	1, 	12, 	2.736, 	(-0.0856327,-0.128867);
14:51:53.110, 	1, 	2, 	19.0787, 	20.6812, 	1, 	8, 	3.04, 	(-0.0810824,-0.265644);
14:51:53.130, 	1, 	2, 	18.1945, 	21.4227, 	1, 	8, 	3.04, 	(0.0489422,-0.299822);
14:51:53.172, 	0, 	2, 	18.3166, 	21.4227, 	1, 	8, 	3.04, 	(0.0489422,-0.299822);
14:51:53.172, 	0, 	2, 	18.6955, 	21.4227, 	0, 	8, 	2.736, 	(0.0489422,-0.299822);
14:51:53.191, 	1, 	2, 	17.033, 	20.646, 	1, 	12, 	2.432, 	(-0.163568,0.203859);
14:51:53.202, 	1, 	1, 	18.9792, 	20.3676, 	0, 	12, 	2.128, 	(-0.26471,-0.347557);(0.536028,-0.296449);(0.591946,0.49367);(-0.116677,0.697106);
14:51:53.231, 	1, 	2, 	20.5004, 	21.1885, 	1, 	12, 	2.128, 	(0.143852,0.211893);
14:51:53.272, 	1, 	2, 	19.8274, 	20.6748, 	1, 	12, 	2.128, 	(-0.256221,-0.159961);
14:51:53.291, 	1, 	2, 	20.2642, 	21.6247, 	1, 	12, 	2.128, 	(0.250264,0.213051);
14:51:53.311, 	1, 	2, 	20.0346, 	22.8888, 	1, 	12, 	2.128, 	(0.253295,-0.192318);
14:51:53.331, 	1, 	2, 	18.0126, 	21.3751, 	1, 	12, 	2.128, 	(-0.155174,-0.284929);
14:51:53.373, 	1, 	2, 	19.4645, 	22.1366, 	1, 	12, 	2.128, 	(0.337817,-0.0429165);
14:51:53.381, 	1, 	2, 	18.2211, 	22.2731, 	1, 	12, 	2.432, 	(-0.208171,0.0241718);
14:51:53.392, 	1, 	2, 	20.9146, 	20.1121, 	1, 	8, 	2.736, 	(0.163985,-0.00795075);
14:51:53.412, 	1, 	2, 	19.1847, 	20.1852, 	1, 	8, 	2.736, 	(0.0702928,-0.213632);
14:51:53.433, 	1, 	2, 	18.9143, 	18.73, 	1, 	8, 	3.04, 	(0.223204,-0.0370719);
14:51:53.471, 	1, 	2, 	22.105, 	22.3652, 	1, 	8, 	3.04, 	(0.279625,0.235227);
14:51:53.473, 	1, 	2, 	18.6236, 	20.2234, 	1, 	8, 	3.04, 	(0.281616,-0.101701);
14:51:53.493, 	1, 	2, 	21.927, 	19.2582, 	1, 	8, 	3.04, 	(-0.332881,0.0912018);
