(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);14:54:23.670, 	1, 	1, 	13.2928, 	10.0096, 	0, 	20, 	2.128, 	(-0.0050869,0.421387);(-0.0175656,-0.770096);(0.487872,0.437587);(-0.537458,0.14702);
14:54:42.007, 	1, 	2, 	10.831, 	16.5338, 	1, 	20, 	2.432, 	(0.0678801,-0.160788);
14:54:42.010, 	1, 	2, 	12.7716, 	18.1681, 	1, 	20, 	2.432, 	(0.145974,-0.12311);
14:54:42.030, 	1, 	2, 	12.9785, 	16.2728, 	1, 	20, 	2.736, 	(-0.0397836,-0.172462);
14:54:42.073, 	0, 	2, 	12.1318, 	13.1148, 	1, 	20, 	2.736, 	(-0.0477707,-0.0906299);
14:54:42.082, 	1, 	2, 	14.4234, 	19.3379, 	1, 	24, 	2.432, 	(-0.211464,-0.0932923);
14:54:42.091, 	1, 	2, 	11.9237, 	17.4255, 	1, 	24, 	2.432, 	(0.128113,0.0564934);
14:54:42.111, 	1, 	2, 	12.4192, 	15.682, 	1, 	20, 	2.432, 	(0.0635855,0.113274);
14:54:42.131, 	1, 	2, 	13.006, 	19.6094, 	1, 	16, 	2.432, 	(0.203449,-0.00596229);
14:54:42.170, 	1, 	2, 	15.0283, 	15.9264, 	1, 	16, 	2.432, 	(0.0246808,-0.119305);
14:54:42.172, 	0, 	2, 	14.4732, 	16.3301, 	1, 	16, 	2.432, 	(-0.102923,0.0511125);
14:54:42.191, 	1, 	2, 	15.1279, 	17.2711, 	1, 	20, 	2.432, 	(0.101439,0.0885632);
14:54:42.203, 	1, 	1, 	15.8961, 	10.4096, 	0, 	16, 	2.128, 	(-0.0288983,0.283263);(-0.235464,-0.444273);(0.692736,-0.156443);(0.0885729,0.468787);
14:54:42.232, 	1, 	2, 	14.5228, 	16.3655, 	1, 	12, 	2.128, 	(-0.108853,-0.121824);
14:54:42.270, 	1, 	2, 	14.6198, 	17.0749, 	1, 	12, 	2.432, 	(0.121781,-0.130241);
14:54:42.272, 	1, 	2, 	15.297, 	18.4014, 	1, 	12, 	2.432, 	(-0.157226,0.0591837);
14:54:42.292, 	1, 	2, 	14.2577, 	15.2618, 	1, 	8, 	2.432, 	(0.11041,-0.0973837);
14:54:42.313, 	1, 	2, 	14.8427, 	17.4708, 	1, 	8, 	2.432, 	(-0.0328519,0.172473);
14:54:42.332, 	1, 	2, 	13.228, 	17.229, 	1, 	8, 	2.432, 	(0.0994654,-0.0660024);
14:54:42.370, 	1, 	2, 	14.5572, 	16.3211, 	1, 	8, 	2.432, 	(0.161491,-0.0418627);
14:54:42.373, 	1, 	2, 	15.3731, 	17.0409, 	1, 	8, 	2.736, 	(-0.163857,0.0917434);
14:54:42.393, 	1, 	2, 	15.1943, 	17.9214, 	1, 	8, 	2.736, 	(-0.0950478,0.10412);
14:54:42.413, 	1, 	2, 	15.5975, 	19.2919, 	1, 	8, 	3.04, 	(-0.0211092,-0.203871);
14:54:42.433, 	1, 	2, 	14.9708, 	17.2464, 	1, 	8, 	3.04, 	(-0.0746511,0.171947);
14:54:42.470, 	1, 	2, 	15.7807, 	17.3179, 	1, 	8, 	3.04, 	(0.130575,0.0710757);
14:54:42.479, 	1, 	2, 	15.8096, 	19.4822, 	1, 	8, 	3.04, 	(-0.120666,-0.140497);
14:54:42.494, 	1, 	2, 	16.3885, 	17.2809, 	1, 	8, 	3.04, 	(-0.0419865,-0.133626);
14:54:42.514, 	1, 	2, 	15.653, 	18.1167, 	1, 	8, 	3.04, 	(-0.0905583,-0.12979);
14:54:42.534, 	1, 	2, 	16.4935, 	14.331, 	1, 	8, 	3.04, 	(-0.133303,-0.0566191);
14:54:42.571, 	1, 	2, 	16.1389, 	17.4497, 	1, 	4, 	3.04, 	(-0.0748786,0.092358);
14:54:42.575, 	1, 	2, 	15.5229, 	18.7767, 	1, 	4, 	3.04, 	(0.0856906,-0.178906);
14:54:42.595, 	1, 	2, 	15.4811, 	18.3809, 	1, 	4, 	3.04, 	(0.0692673,0.13612);
14:54:42.615, 	1, 	2, 	17.3894, 	19.3841, 	1, 	4, 	3.04, 	(0.0889813,-0.100938);
14:54:42.635, 	1, 	2, 	16.5157, 	18.4674, 	1, 	4, 	3.04, 	(0.211285,-0.0519463);
14:54:42.669, 	1, 	2, 	16.6695, 	20.8124, 	1, 	4, 	3.04, 	(0.12225,-0.199443);
14:54:42.675, 	1, 	2, 	17.4978, 	18.8289, 	1, 	-6.93889e-15, 	3.04, 	(-0.052289,0.155015);
14:54:42.696, 	1, 	2, 	19.504, 	20.2262, 	1, 	-6.93889e-15, 	3.04, 	(0.19358,0.123394);
14:54:42.715, 	1, 	2, 	16.6407, 	17.7789, 	1, 	-6.93889e-15, 	3.04, 	(-0.245089,-0.0188278);
14:54:42.735, 	1, 	2, 	18.8864, 	20.4295, 	1, 	-6.93889e-15, 	3.04, 	(0.0349111,-0.17892);
14:54:42.770, 	1, 	2, 	19.0079, 	20.455, 	1, 	-6.93889e-15, 	3.04, 	(0.015462,-0.146592);
14:54:42.776, 	1, 	2, 	17.9622, 	20.5778, 	1, 	-6.93889e-15, 	3.04, 	(-0.143839,0.187131);
14:54:42.796, 	1, 	2, 	15.9265, 	18.9521, 	1, 	-6.93889e-15, 	3.04, 	(0.25492,-0.0721847);
14:54:42.816, 	1, 	2, 	19.3714, 	21.5735, 	1, 	-6.93889e-15, 	3.04, 	(0.154561,0.0906558);
14:54:42.836, 	1, 	2, 	18.3422, 	20.7604, 	1, 	-6.93889e-15, 	3.04, 	(0.265731,0.0539073);
14:54:42.872, 	1, 	2, 	17.8998, 	20.4742, 	1, 	-6.93889e-15, 	3.04, 	(0.0381184,-0.294644);
14:54:42.888, 	1, 	2, 	19.3468, 	17.8559, 	1, 	-6.93889e-15, 	3.04, 	(-0.050997,-0.138349);
14:54:42.907, 	1, 	2, 	19.8185, 	20.613, 	1, 	-6.93889e-15, 	3.04, 	(-0.208898,-0.14275);
14:54:42.927, 	1, 	2, 	19.1551, 	20.7914, 	1, 	-6.93889e-15, 	3.04, 	(0.137488,-0.182575);
14:54:42.970, 	1, 	2, 	18.1633, 	21.4154, 	1, 	-6.93889e-15, 	3.04, 	(-0.180454,0.0923313);
14:54:42.977, 	1, 	2, 	20.0193, 	21.2053, 	1, 	-6.93889e-15, 	3.04, 	(0.0779936,0.141816);
14:54:42.988, 	1, 	2, 	20.1646, 	21.0936, 	1, 	-6.93889e-15, 	3.04, 	(-0.148084,0.223846);
14:54:43.008, 	1, 	2, 	18.7849, 	20.5043, 	1, 	-6.93889e-15, 	3.04, 	(0.187039,-0.0441353);
14:54:43.028, 	1, 	2, 	20.5255, 	20.9542, 	1, 	-6.93889e-15, 	3.04, 	(0.126228,-0.126381);
14:54:43.072, 	1, 	2, 	20.0014, 	21.2666, 	1, 	-6.93889e-15, 	3.04, 	(-0.158261,0.206327);
14:54:43.081, 	1, 	2, 	20.2079, 	18.6636, 	1, 	-6.93889e-15, 	3.04, 	(0.204783,0.114765);
14:54:43.089, 	1, 	2, 	20.1021, 	23.2893, 	1, 	-6.93889e-15, 	3.04, 	(-0.190094,0.22737);
14:54:43.109, 	1, 	2, 	20.7529, 	20.1239, 	1, 	-6.93889e-15, 	3.04, 	(-0.0866336,0.129688);
14:54:43.129, 	1, 	2, 	21.9919, 	21.816, 	1, 	-6.93889e-15, 	3.04, 	(0.214949,0.124736);
14:54:43.170, 	1, 	2, 	22.6528, 	20.1803, 	1, 	-6.93889e-15, 	3.04, 	(0.0620147,0.178442);
14:54:43.189, 	1, 	2, 	21.5738, 	22.0582, 	1, 	-6.93889e-15, 	3.04, 	(-0.078256,-0.334523);
14:54:43.210, 	1, 	2, 	20.286, 	22.8676, 	1, 	-6.93889e-15, 	3.04, 	(-0.149519,0.362475);
14:54:43.230, 	1, 	2, 	21.1355, 	20.4868, 	1, 	-6.93889e-15, 	3.04, 	(0.172292,-0.0128334);
14:54:43.270, 	1, 	2, 	21.9205, 	20.4868, 	1, 	-6.93889e-15, 	3.04, 	(0.172292,-0.0128334);
14:54:43.271, 	0, 	2, 	22.9066, 	20.4868, 	1, 	-6.93889e-15, 	3.04, 	(0.172292,-0.0128334);
14:54:43.290, 	0, 	2, 	22.8757, 	15.9922, 	0, 	4, 	2.736, 	(0.0924452,-0.0454968);
14:54:43.309, 	1, 	1, 	22.5444, 	21.653, 	0, 	8, 	2.128, 	(0.677284,0.129646);(-0.018436,0.821407);(-0.277096,0.26033);(-0.418408,-0.0413761);
14:54:43.330, 	0, 	2, 	24.6258, 	14.6225, 	0, 	8, 	2.128, 	(-0.0451767,-0.0835493);
14:54:43.370, 	1, 	2, 	23.5776, 	14.6225, 	1, 	12, 	1.824, 	(-0.0451767,-0.0835493);
14:54:43.370, 	1, 	1, 	23.2097, 	14.6225, 	0, 	12, 	1.52, 	(-0.0451767,-0.0835493);
14:54:43.391, 	0, 	2, 	23.7737, 	11.4886, 	0, 	12, 	1.52, 	(-0.0412624,-0.0793956);
14:54:43.410, 	1, 	1, 	23.7135, 	20.3368, 	0, 	16, 	0.912, 	(0.129776,0.763259);(-0.927721,0.174655);(-0.818574,-0.743976);(-0.183338,-1.10881);
14:54:43.431, 	0, 	2, 	23.2526, 	18.374, 	0, 	16, 	0.912, 	(0.173112,-0.0181016);
14:54:43.469, 	1, 	2, 	23.8142, 	23.2228, 	1, 	20, 	0.608, 	(-0.345913,-0.246641);
14:54:43.470, 	1, 	1, 	24.0262, 	22.173, 	0, 	20, 	0.608, 	(-0.628298,-0.229668);(0.051078,-0.773172);(0.157609,-0.168995);(0.325293,-0.00030587);
14:54:43.492, 	1, 	2, 	23.051, 	22.0442, 	1, 	20, 	0.912, 	(0.245204,-0.279578);
14:54:43.512, 	1, 	2, 	25.0182, 	23.1056, 	1, 	20, 	1.216, 	(-0.0428628,-0.278899);
14:54:43.532, 	1, 	2, 	25.3762, 	25.2029, 	1, 	20, 	1.52, 	(0.0938061,-0.421476);
14:54:43.571, 	1, 	2, 	25.0015, 	22.5869, 	1, 	20, 	1.52, 	(0.261449,0.138156);
14:54:43.574, 	1, 	2, 	25.8752, 	22.5297, 	1, 	20, 	1.824, 	(0.00458858,-0.260158);
14:54:43.592, 	1, 	2, 	26.695, 	23.5306, 	1, 	20, 	2.128, 	(-0.257456,0.413472);
14:54:43.613, 	1, 	2, 	26.2655, 	24.8345, 	1, 	20, 	2.432, 	(-0.296892,0.340308);
14:54:43.632, 	1, 	2, 	26.536, 	20.777, 	1, 	20, 	2.736, 	(-0.195301,0.0132125);
14:54:43.671, 	1, 	2, 	24.9501, 	22.3805, 	1, 	20, 	2.736, 	(-0.0679706,0.218798);
14:54:43.673, 	1, 	2, 	26.6575, 	23.7013, 	1, 	20, 	3.04, 	(0.273109,0.396428);
14:54:43.693, 	1, 	2, 	22.6343, 	23.1955, 	1, 	20, 	3.04, 	(0.165225,-0.381374);
14:54:43.713, 	1, 	2, 	25.7521, 	23.3012, 	1, 	20, 	3.04, 	(-0.172356,-0.281952);
14:54:43.733, 	1, 	2, 	26.4156, 	23.5558, 	1, 	20, 	3.04, 	(-0.218332,-0.429091);
14:54:43.770, 	1, 	2, 	27.5369, 	23.2498, 	1, 	20, 	3.04, 	(-0.30774,-0.215346);
14:54:43.774, 	1, 	2, 	24.6876, 	25.0804, 	1, 	16, 	3.04, 	(0.583873,-0.091154);
14:54:43.794, 	1, 	2, 	27.4771, 	25.6081, 	1, 	12, 	3.04, 	(-0.389574,0.431205);
14:54:43.814, 	1, 	2, 	19.7797, 	22.2853, 	1, 	12, 	3.04, 	(-0.39248,0.261178);
14:54:43.834, 	1, 	2, 	23.4092, 	23.7464, 	1, 	8, 	3.04, 	(-0.210268,-0.486981);
14:54:43.870, 	1, 	2, 	25.7977, 	23.7605, 	1, 	8, 	3.04, 	(-0.271558,0.194805);
14:54:43.875, 	1, 	2, 	27.7312, 	25.039, 	1, 	8, 	3.04, 	(0.22294,0.543034);
14:54:43.895, 	1, 	2, 	21.9943, 	25.0041, 	1, 	4, 	3.04, 	(0.586636,0.235418);
14:54:43.915, 	1, 	2, 	25.9123, 	20.8889, 	1, 	4, 	3.04, 	(-0.217753,-0.26176);
14:54:43.935, 	1, 	2, 	27.0244, 	21.8438, 	1, 	-6.93889e-15, 	3.04, 	(-0.181094,0.104715);
14:54:43.972, 	0, 	2, 	20.4161, 	17.6694, 	1, 	-6.93889e-15, 	3.04, 	(-0.120646,0.141051);
14:54:43.975, 	1, 	2, 	24.8047, 	23.1471, 	1, 	4, 	2.736, 	(0.167614,-0.434734);
14:54:43.993, 	1, 	1, 	28.8053, 	23.8403, 	0, 	4, 	2.432, 	(-0.633359,1.08018);(-1.38993,0.0149923);(-0.661565,-0.313394);(-0.607033,-0.742477);
14:54:44.015, 	1, 	2, 	28.3482, 	22.9992, 	1, 	4, 	2.432, 	(0.423077,0.0281573);
14:54:44.036, 	1, 	2, 	22.3611, 	23.0389, 	1, 	4, 	2.432, 	(0.16345,0.274284);
14:54:44.070, 	1, 	2, 	26.3247, 	22.9681, 	1, 	4, 	2.432, 	(-0.234871,-0.209396);
14:54:44.076, 	1, 	2, 	27.5593, 	18.5448, 	1, 	4, 	2.432, 	(0.0704531,0.0775491);
14:54:44.096, 	1, 	2, 	28.2798, 	19.2065, 	1, 	4, 	2.432, 	(-0.0525649,-0.0272912);
14:54:44.116, 	1, 	2, 	27.2525, 	25.5764, 	1, 	4, 	2.432, 	(-0.312346,-0.414842);
14:54:44.137, 	1, 	2, 	26.2678, 	23.2031, 	1, 	4, 	2.432, 	(-0.0614002,-0.268915);
14:54:44.170, 	1, 	2, 	29.506, 	25.3445, 	1, 	4, 	2.736, 	(0.585393,0.258553);
14:54:44.177, 	1, 	2, 	27.7979, 	23.6513, 	1, 	4, 	2.736, 	(-0.248496,-0.172188);
14:54:44.197, 	1, 	2, 	28.3921, 	20.1346, 	1, 	4, 	3.04, 	(-0.0301272,0.0130235);
14:54:44.217, 	1, 	2, 	29.7914, 	19.3465, 	1, 	4, 	3.04, 	(-0.103591,-0.0281594);
14:54:44.237, 	1, 	2, 	30.1808, 	19.8972, 	1, 	4, 	3.04, 	(0.0635069,0.149495);
14:54:44.274, 	1, 	2, 	28.5086, 	19.4542, 	1, 	4, 	3.04, 	(0.0487085,-0.119736);
14:54:44.283, 	1, 	2, 	28.5106, 	24.3438, 	1, 	4, 	3.04, 	(-0.205353,-0.0876972);
14:54:44.298, 	1, 	2, 	29.4037, 	20.2778, 	1, 	4, 	3.04, 	(-0.0469881,-0.183453);
14:54:44.318, 	1, 	2, 	24.416, 	19.4684, 	1, 	4, 	3.04, 	(-0.100989,-0.18188);
14:54:44.338, 	1, 	2, 	29.1971, 	20.4037, 	1, 	4, 	3.04, 	(0.0550665,-0.104118);
14:54:44.369, 	1, 	2, 	29.8819, 	20.4895, 	1, 	4, 	3.04, 	(0.0285106,-0.146374);
14:54:44.378, 	1, 	2, 	22.9784, 	20.7157, 	1, 	4, 	3.04, 	(-0.195771,0.173682);
14:54:44.398, 	1, 	2, 	27.4501, 	20.9056, 	1, 	4, 	3.04, 	(0.0979747,0.0932837);
14:54:44.419, 	1, 	2, 	29.2983, 	20.0487, 	1, 	4, 	3.04, 	(-0.0247891,-0.224107);
14:54:44.439, 	1, 	2, 	30.3299, 	25.528, 	1, 	4, 	3.04, 	(0.536706,0.535836);
14:54:44.479, 	1, 	2, 	29.2845, 	20.1674, 	1, 	-6.93889e-15, 	3.04, 	(-0.154867,0.170202);
14:54:44.499, 	1, 	2, 	29.7378, 	19.9768, 	1, 	-6.93889e-15, 	3.04, 	(-0.0329316,0.115369);
14:54:44.519, 	1, 	2, 	29.9041, 	25.8679, 	1, 	-6.93889e-15, 	3.04, 	(0.717582,0.0223772);
14:54:44.540, 	1, 	2, 	27.6968, 	25.3106, 	1, 	-6.93889e-15, 	3.04, 	(-0.563362,0.216118);
14:54:44.577, 	1, 	2, 	31.3635, 	25.9782, 	1, 	-6.93889e-15, 	3.04, 	(-0.824105,-0.0645131);
14:54:44.583, 	1, 	2, 	31.6989, 	25.8514, 	1, 	-6.93889e-15, 	3.04, 	(0.698852,0.261866);
14:54:44.600, 	1, 	2, 	26.5215, 	26.2119, 	1, 	-6.93889e-15, 	3.04, 	(-0.794695,0.346229);
14:54:44.620, 	1, 	2, 	31.2694, 	25.8603, 	1, 	-6.93889e-15, 	3.04, 	(0.358492,0.76492);
14:54:44.641, 	1, 	2, 	21.9089, 	24.7359, 	1, 	-6.93889e-15, 	3.04, 	(-0.368474,0.887187);
14:54:44.670, 	1, 	2, 	25.2592, 	20.1503, 	1, 	-6.93889e-15, 	3.04, 	(-0.0566399,-0.287096);
14:54:44.681, 	1, 	2, 	30.0621, 	23.8912, 	1, 	-6.93889e-15, 	3.04, 	(0.184948,0.145509);
14:54:44.701, 	1, 	2, 	31.6108, 	24.0188, 	1, 	-6.93889e-15, 	3.04, 	(-0.146114,-0.342284);
14:54:44.723, 	1, 	2, 	24.3462, 	25.3333, 	1, 	-6.93889e-15, 	3.04, 	(-0.106231,0.925881);
14:54:44.741, 	1, 	2, 	30.1857, 	26.5034, 	1, 	-6.93889e-15, 	3.04, 	(-0.623392,0.0477913);
14:54:44.781, 	1, 	2, 	31.0253, 	25.6831, 	1, 	-6.93889e-15, 	3.04, 	(-0.718073,-0.0373339);
14:54:44.801, 	1, 	2, 	26.7595, 	24.3564, 	1, 	-6.93889e-15, 	3.04, 	(-0.362248,0.640885);
14:54:44.823, 	1, 	2, 	19.82, 	23.023, 	1, 	-6.93889e-15, 	3.04, 	(-0.693028,0.210844);
