(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:17:42.032, 	1, 	1, 	10.9989, 	8.44011, 	0, 	8, 	2.736, 	(-0.27981,-0.299134);(0.227729,0.553308);(-0.738511,-0.611852);(0.950198,-0.183212);
15:17:58.104, 	0, 	2, 	18.6263, 	13.3971, 	0, 	8, 	2.736, 	(-0.0225286,-0.0858997);
15:17:58.123, 	1, 	1, 	20.0639, 	18.1732, 	0, 	12, 	2.128, 	(0.25624,0.412611);(-0.633284,0.200174);(-0.349642,-0.621011);(0.333189,-0.553412);
15:17:58.144, 	0, 	2, 	19.0412, 	17.2647, 	0, 	12, 	2.128, 	(-0.128006,-0.00995475);
15:17:58.170, 	1, 	1, 	19.4696, 	17.216, 	0, 	12, 	1.52, 	(-0.43294,-0.110542);(0.136945,-0.439396);(0.154037,-0.0292355);(0.0976532,0.144166);
15:17:58.184, 	1, 	1, 	18.504, 	16.9253, 	0, 	12, 	1.216, 	(0.419935,0.139621);(-0.349287,0.506012);(-0.692577,-0.27689);(-0.13366,-0.644513);
15:17:58.204, 	1, 	2, 	17.5234, 	20.339, 	1, 	12, 	1.216, 	(0.108663,-0.166515);
15:17:58.224, 	1, 	2, 	16.0449, 	17.9679, 	1, 	12, 	1.216, 	(0.15509,-0.19815);
15:17:58.245, 	1, 	2, 	18.571, 	20.5331, 	1, 	8, 	1.216, 	(0.0670809,-0.202233);
15:17:58.282, 	1, 	2, 	20.0345, 	21.5305, 	1, 	8, 	1.216, 	(0.183278,0.112215);
15:17:58.288, 	1, 	2, 	19.9958, 	20.241, 	1, 	8, 	1.52, 	(-0.180246,-0.110902);
15:17:58.305, 	1, 	2, 	19.3055, 	20.636, 	1, 	8, 	1.824, 	(0.339653,-0.00755089);
15:17:58.328, 	1, 	2, 	20.8816, 	23.1486, 	1, 	8, 	2.128, 	(-0.339208,0.0526756);
15:17:58.346, 	1, 	2, 	20.4296, 	20.6715, 	1, 	8, 	2.432, 	(0.149113,0.062053);
15:17:58.386, 	1, 	2, 	21.1699, 	21.097, 	1, 	8, 	2.736, 	(0.200314,-0.110855);
15:17:58.406, 	1, 	2, 	22.4149, 	22.8712, 	1, 	8, 	3.04, 	(0.11256,0.157807);
15:17:58.426, 	1, 	2, 	22.7047, 	20.7454, 	1, 	8, 	3.04, 	(-0.0296643,0.246665);
15:17:58.447, 	1, 	2, 	20.6644, 	20.985, 	1, 	8, 	3.04, 	(-0.135014,-0.146078);
15:17:58.470, 	1, 	2, 	21.0565, 	21.7642, 	1, 	8, 	3.04, 	(-0.0098378,-0.202543);
15:17:58.487, 	1, 	2, 	22.1791, 	22.5953, 	1, 	8, 	3.04, 	(0.18126,0.259846);
15:17:58.507, 	1, 	2, 	20.2477, 	22.3712, 	1, 	8, 	3.04, 	(0.368589,0.118762);
15:17:58.527, 	1, 	2, 	22.3803, 	23.31, 	1, 	8, 	3.04, 	(0.269644,-0.252702);
15:17:58.570, 	1, 	2, 	23.5446, 	23.168, 	1, 	8, 	3.04, 	(0.294712,-0.142723);
15:17:58.570, 	1, 	2, 	22.5117, 	24.6441, 	1, 	8, 	3.04, 	(0.298937,-0.388219);
15:17:58.588, 	1, 	2, 	22.7277, 	24.2022, 	1, 	8, 	3.04, 	(-0.181765,-0.231944);
15:17:58.608, 	1, 	2, 	18.4054, 	23.5547, 	1, 	8, 	3.04, 	(-0.377848,-0.320123);
15:17:58.628, 	1, 	2, 	23.6684, 	22.6764, 	1, 	4, 	3.04, 	(-0.142812,0.289524);
15:17:58.670, 	1, 	2, 	23.2997, 	23.7823, 	1, 	4, 	3.04, 	(0.341785,0.233638);
15:17:58.670, 	1, 	2, 	24.079, 	24.8313, 	1, 	-1.38778e-15, 	3.04, 	(-0.464153,-0.0818899);
15:17:58.689, 	1, 	2, 	21.8467, 	24.1141, 	1, 	-1.38778e-15, 	3.04, 	(0.523747,-0.0474861);
15:17:58.709, 	1, 	2, 	22.5906, 	24.745, 	1, 	-1.38778e-15, 	3.04, 	(0.29948,0.142409);
15:17:58.729, 	1, 	2, 	18.6998, 	22.4469, 	1, 	-1.38778e-15, 	3.04, 	(0.500728,0.00538283);
15:17:58.770, 	1, 	2, 	21.1941, 	24.9181, 	1, 	-1.38778e-15, 	3.04, 	(-0.507186,0.14838);
15:17:58.773, 	1, 	2, 	22.6476, 	24.5258, 	1, 	-1.38778e-15, 	3.04, 	(0.266685,-0.46829);
15:17:58.791, 	1, 	2, 	19.2454, 	22.7889, 	1, 	-1.38778e-15, 	3.04, 	(-0.236166,0.418153);
15:17:58.810, 	1, 	2, 	22.0472, 	24.3411, 	1, 	-1.38778e-15, 	3.04, 	(0.507781,0.0702123);
15:17:58.830, 	1, 	2, 	25.4575, 	24.4434, 	1, 	-1.38778e-15, 	3.04, 	(0.0705007,-0.341188);
15:17:58.869, 	1, 	2, 	19.1562, 	22.2059, 	1, 	-1.38778e-15, 	3.04, 	(0.4725,0.164411);
15:17:58.870, 	1, 	2, 	21.254, 	24.5805, 	1, 	-1.38778e-15, 	3.04, 	(-0.27534,0.487072);
15:17:58.890, 	1, 	2, 	25.7103, 	23.194, 	1, 	-1.38778e-15, 	3.04, 	(0.330153,-0.224492);
15:17:58.910, 	1, 	2, 	25.3648, 	24.0521, 	1, 	-1.38778e-15, 	3.04, 	(-0.260362,0.163363);
15:17:58.931, 	1, 	2, 	20.7605, 	24.3504, 	1, 	-1.38778e-15, 	3.04, 	(-0.0986004,-0.54875);
15:17:58.970, 	1, 	2, 	25.5549, 	25.1965, 	1, 	-1.38778e-15, 	3.04, 	(-0.412536,-0.0430399);
15:17:58.973, 	1, 	2, 	25.7445, 	20.9593, 	1, 	-1.38778e-15, 	3.04, 	(0.187975,0.00967525);
15:17:58.992, 	1, 	2, 	26.6198, 	24.2942, 	1, 	-1.38778e-15, 	3.04, 	(0.0195604,-0.34178);
15:17:59.011, 	0, 	2, 	26.4782, 	24.0547, 	1, 	-1.38778e-15, 	3.04, 	(0.00998293,0.309953);
15:17:59.032, 	1, 	2, 	25.1516, 	23.4392, 	1, 	4, 	2.736, 	(-0.250827,-0.011304);
15:17:59.070, 	1, 	1, 	27.0997, 	26.6315, 	0, 	4, 	2.432, 	(-0.12161,0.977645);(-1.1639,0.241539);(-0.453079,-0.322239);(-0.19391,-0.633151);
15:17:59.072, 	1, 	2, 	25.9597, 	22.5061, 	1, 	4, 	2.432, 	(-0.181641,0.297078);
15:17:59.092, 	1, 	2, 	26.9052, 	24.3381, 	1, 	4, 	2.432, 	(-0.566926,0.28557);
15:17:59.112, 	1, 	2, 	20.3525, 	23.7328, 	1, 	4, 	2.432, 	(-0.171895,0.613729);
15:17:59.132, 	1, 	2, 	23.179, 	24.589, 	1, 	4, 	2.432, 	(-0.620788,0.250261);
15:17:59.175, 	1, 	2, 	27.0308, 	22.5605, 	1, 	4, 	2.432, 	(-0.147069,-0.215054);
15:17:59.182, 	1, 	2, 	27.4335, 	24.8627, 	1, 	4, 	2.432, 	(-0.59764,-0.175806);
15:17:59.193, 	1, 	2, 	26.3222, 	25.0594, 	1, 	4, 	2.432, 	(-0.12414,-0.483536);
15:17:59.213, 	1, 	2, 	26.466, 	26.1042, 	1, 	4, 	2.736, 	(-0.430102,0.455105);
15:17:59.233, 	1, 	2, 	28.6946, 	25.0366, 	1, 	4, 	2.736, 	(0.294014,0.515291);
15:17:59.270, 	1, 	2, 	27.7584, 	23.8709, 	1, 	4, 	3.04, 	(-0.361898,0.24266);
15:17:59.275, 	1, 	2, 	26.8513, 	20.8397, 	1, 	4, 	3.04, 	(0.129186,-0.135796);
15:17:59.294, 	0, 	2, 	18.9448, 	17.6674, 	1, 	4, 	3.04, 	(0.222189,-0.136157);
15:17:59.314, 	1, 	2, 	22.0137, 	18.532, 	1, 	8, 	2.736, 	(0.242467,0.00437824);
15:17:59.329, 	1, 	1, 	27.9969, 	25.3453, 	0, 	8, 	2.432, 	(-1.25063,0.0366704);(-0.64956,-1.41755);(0.258694,-1.19295);(0.861497,-1.06822);
15:17:59.369, 	1, 	2, 	27.7259, 	25.8539, 	1, 	8, 	2.432, 	(-0.248929,0.56286);
15:17:59.375, 	1, 	2, 	21.5744, 	24.611, 	1, 	8, 	2.432, 	(0.133985,0.699757);
15:17:59.395, 	1, 	2, 	27.5157, 	25.5591, 	1, 	8, 	2.432, 	(0.295423,0.423199);
15:17:59.414, 	1, 	2, 	27.0796, 	25.0527, 	1, 	8, 	2.432, 	(0.0586018,0.394276);
15:17:59.436, 	1, 	2, 	23.266, 	25.46, 	1, 	8, 	2.432, 	(-0.320516,0.645757);
15:17:59.477, 	1, 	2, 	25.803, 	24.9303, 	1, 	8, 	2.432, 	(0.303986,0.39615);
15:17:59.484, 	1, 	2, 	28.4633, 	25.1832, 	1, 	8, 	2.432, 	(-0.466665,0.0657869);
15:17:59.495, 	1, 	2, 	22.1922, 	24.0901, 	1, 	8, 	2.736, 	(0.650613,0.253132);
15:17:59.515, 	1, 	2, 	25.3476, 	25.3596, 	1, 	4, 	2.736, 	(-0.312373,-0.650087);
15:17:59.536, 	1, 	2, 	27.1713, 	25.3536, 	1, 	4, 	3.04, 	(0.403743,-0.202201);
15:17:59.570, 	1, 	2, 	20.4621, 	23.8484, 	1, 	4, 	3.04, 	(0.0863595,0.728614);
15:17:59.576, 	1, 	2, 	24.4702, 	25.3243, 	1, 	4, 	3.04, 	(-0.263643,0.521655);
15:17:59.596, 	1, 	2, 	27.8472, 	26.703, 	1, 	4, 	3.04, 	(0.193596,-0.329675);
15:17:59.616, 	1, 	2, 	20.1563, 	22.7837, 	1, 	4, 	3.04, 	(0.363944,-0.469197);
15:17:59.636, 	1, 	2, 	28.4414, 	25.5132, 	1, 	4, 	3.04, 	(-0.183757,0.472063);
15:17:59.671, 	1, 	2, 	27.2273, 	25.3747, 	1, 	4, 	3.04, 	(-0.484929,0.41018);
15:17:59.677, 	1, 	2, 	19.5283, 	20.6172, 	1, 	4, 	3.04, 	(0.170803,0.222618);
15:17:59.697, 	1, 	2, 	22.9187, 	24.8516, 	1, 	4, 	3.04, 	(-0.559889,-0.367621);
15:17:59.717, 	1, 	2, 	27.8609, 	25.7739, 	1, 	4, 	3.04, 	(0.164366,-0.422696);
15:17:59.737, 	1, 	2, 	19.3377, 	19.0313, 	1, 	4, 	3.04, 	(0.213699,-0.130517);
15:17:59.777, 	1, 	2, 	29.5333, 	20.2544, 	1, 	4, 	3.04, 	(-0.0846924,0.0926708);
15:17:59.785, 	1, 	2, 	26.8102, 	25.4379, 	1, 	4, 	3.04, 	(0.530731,0.5455);
15:17:59.798, 	1, 	2, 	19.5104, 	17.1398, 	1, 	-1.38778e-15, 	3.04, 	(-0.142123,0.129672);
15:17:59.818, 	1, 	2, 	22.5307, 	18.5264, 	1, 	-1.38778e-15, 	3.04, 	(-0.252909,-0.0224884);
15:17:59.838, 	1, 	2, 	28.2301, 	20.9276, 	1, 	-1.38778e-15, 	3.04, 	(0.0482969,-0.0831807);
15:17:59.870, 	1, 	2, 	28.142, 	20.626, 	1, 	-1.38778e-15, 	3.04, 	(-0.048111,0.0482782);
15:17:59.878, 	1, 	2, 	31.1709, 	20.3795, 	1, 	-1.38778e-15, 	3.04, 	(-0.0804048,-0.0874985);
15:17:59.899, 	1, 	2, 	29.2852, 	21.2619, 	1, 	-1.38778e-15, 	3.04, 	(-0.0904584,0.0114444);
15:17:59.919, 	1, 	2, 	29.8006, 	20.5903, 	1, 	-1.38778e-15, 	3.04, 	(-0.129774,0.13113);
15:17:59.939, 	1, 	2, 	29.5813, 	20.529, 	1, 	-1.38778e-15, 	3.04, 	(0.0978197,-0.0829736);
15:17:59.973, 	1, 	2, 	25.4543, 	20.0527, 	1, 	-1.38778e-15, 	3.04, 	(0.211851,0.0998956);
15:17:59.981, 	1, 	2, 	29.1079, 	19.7201, 	1, 	-1.38778e-15, 	3.04, 	(-0.0462607,-0.183105);
15:17:59.999, 	1, 	2, 	30.7225, 	20.8263, 	1, 	-1.38778e-15, 	3.04, 	(0.0807584,-0.0931659);
