2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	39.2579, 	-60, 	26.1534, 	1, 	1.52
2, 	39.2579, 	19, 	0, 	0, 	1.52
2, 	49.2717, 	36, 	0, 	0, 	1.52
2, 	49.2717, 	36, 	20.1824, 	1, 	2.736
2, 	47.9181, 	36, 	0, 	0, 	2.736
2, 	47.9181, 	20, 	19.1393, 	1, 	2.736
2, 	47.9181, 	20, 	18.8742, 	1, 	2.736
2, 	39.2579, 	20, 	19.7226, 	1, 	2.736
2, 	39.2579, 	19, 	19.2686, 	1, 	2.736
2, 	34.772, 	19, 	20.0504, 	1, 	2.736
2, 	34.772, 	15, 	0, 	0, 	2.736
2, 	34.772, 	15, 	20.0682, 	1, 	2.736
2, 	34.772, 	15, 	19.6576, 	1, 	2.736
2, 	15.8689, 	15, 	21.1604, 	1, 	3.04
2, 	15.8689, 	18, 	13.9647, 	0, 	3.04
2, 	14.9403, 	40, 	19.105, 	1, 	2.736
2, 	14.9403, 	39, 	0, 	0, 	2.736
1, 	14.9403, 	39, 	17.1599, 	1, 	2.432
2, 	16.8018, 	39, 	19.1327, 	1, 	2.432
2, 	16.8018, 	20, 	20.3879, 	1, 	2.432
2, 	18.6818, 	20, 	20.1949, 	1, 	2.432
2, 	18.6818, 	19, 	20.1277, 	1, 	2.432
2, 	13.0948, 	19, 	0, 	0, 	2.432
2, 	13.0948, 	20, 	18.5238, 	1, 	2.432
2, 	13.0948, 	20, 	21.1422, 	1, 	2.432
2, 	14.0157, 	20, 	19.3903, 	0, 	2.432
2, 	14.0157, 	45, 	22.1778, 	1, 	2.432
1, 	14.0157, 	45, 	21.761, 	1, 	2.128
1, 	14.0157, 	45, 	0, 	0, 	2.128
2, 	14.9403, 	45, 	17.1541, 	0, 	2.128
2, 	14.9403, 	39, 	18.1958, 	1, 	2.128
1, 	14.9403, 	39, 	17.9269, 	1, 	1.824
1, 	14.9403, 	39, 	0, 	0, 	1.824
2, 	13.0948, 	39, 	18.7912, 	1, 	1.824
2, 	13.0948, 	20, 	19.8478, 	1, 	1.824
2, 	13.0948, 	20, 	23.3366, 	1, 	1.824
2, 	13.0948, 	20, 	21.4565, 	1, 	1.824
2, 	13.0948, 	20, 	23.4013, 	1, 	2.128
2, 	13.0948, 	20, 	22.1327, 	1, 	2.128
2, 	12.1773, 	20, 	21.0041, 	1, 	2.432
2, 	12.1773, 	30, 	0, 	0, 	2.432
2, 	12.1773, 	14, 	21.6327, 	1, 	2.736
2, 	12.1773, 	14, 	22.2726, 	1, 	2.736
2, 	10.3516, 	14, 	23.0698, 	1, 	3.04
2, 	10.3516, 	35, 	20.6496, 	1, 	3.04
2, 	8.53639, 	35, 	20.6887, 	1, 	3.04
2, 	8.53639, 	34, 	20.0214, 	1, 	3.04
2, 	10.3516, 	34, 	22.3555, 	1, 	3.04
2, 	10.3516, 	35, 	21.4373, 	1, 	3.04
2, 	9.44278, 	35, 	21.4812, 	1, 	3.04
2, 	9.44278, 	34, 	20.8692, 	1, 	3.04
2, 	8.53639, 	34, 	22.3551, 	1, 	3.04
2, 	8.53639, 	34, 	21.6707, 	1, 	3.04
2, 	8.53639, 	34, 	21.4212, 	1, 	3.04
2, 	8.53639, 	34, 	21.8198, 	1, 	3.04
2, 	6.72981, 	34, 	0, 	0, 	3.04
2, 	6.72981, 	9, 	21.6237, 	1, 	3.04
2, 	6.72981, 	9, 	22.593, 	1, 	3.04
2, 	4.03194, 	9, 	24.0232, 	1, 	3.04
2, 	4.03194, 	3, 	24.665, 	1, 	3.04
2, 	7.63215, 	3, 	0, 	0, 	3.04
2, 	7.63215, 	24, 	24.665, 	1, 	3.04
2, 	6.72981, 	24, 	24.0038, 	1, 	3.04
2, 	6.72981, 	9, 	23.5127, 	1, 	3.04
2, 	6.72981, 	9, 	24.4415, 	1, 	3.04
2, 	6.72981, 	9, 	0, 	0, 	3.04
2, 	6.72981, 	9, 	24.4415, 	1, 	3.04
2, 	6.72981, 	9, 	24.7941, 	1, 	3.04
2, 	5.82915, 	9, 	25.8562, 	1, 	3.04
2, 	5.82915, 	-7, 	24.5365, 	1, 	3.04
2, 	4.03194, 	-7, 	0, 	0, 	3.04
2, 	4.03194, 	3, 	0, 	0, 	3.04
2, 	4.03194, 	3, 	21.1144, 	1, 	3.04
2, 	4.92994, 	3, 	23.6669, 	1, 	3.04
2, 	4.92994, 	22, 	23.6949, 	1, 	3.04
2, 	4.03194, 	22, 	25.061, 	1, 	3.04
2, 	4.03194, 	3, 	0, 	0, 	3.04
2, 	3.13493, 	22, 	25.061, 	1, 	3.04
2, 	3.13493, 	3, 	24.6093, 	1, 	3.04
2, 	3.13493, 	3, 	24.5877, 	1, 	3.04
2, 	3.13493, 	3, 	25.4321, 	1, 	3.04
2, 	2.23869, 	3, 	0, 	0, 	3.04
2, 	2.23869, 	-13, 	25.5598, 	1, 	3.04
2, 	2.23869, 	-13, 	18.4437, 	1, 	3.04
2, 	2.23869, 	-13, 	22.2945, 	1, 	3.04
2, 	1.34299, 	-13, 	20.503, 	1, 	3.04
2, 	1.34299, 	13, 	0, 	0, 	3.04
2, 	0.447628, 	-8, 	24.8322, 	1, 	3.04
2, 	0.447628, 	-8, 	23.1796, 	1, 	3.04
2, 	0.447628, 	-8, 	23.2834, 	1, 	3.04
2, 	0.447628, 	-8, 	22.8177, 	1, 	3.04
2, 	0.447628, 	-8, 	0, 	0, 	3.04
2, 	0.447628, 	-36, 	24.1453, 	1, 	3.04
2, 	0.447628, 	-36, 	19.4736, 	1, 	3.04
2, 	-1.34299, 	-36, 	19.6257, 	1, 	3.04
2, 	-1.34299, 	-29, 	19.4469, 	1, 	3.04
2, 	-0.447628, 	-29, 	19.5779, 	1, 	3.04
2, 	-0.447628, 	-36, 	0, 	0, 	3.04
2, 	-0.447628, 	-33, 	19.3142, 	1, 	3.04
2, 	-1.34299, 	-33, 	19.7443, 	1, 	3.04
2, 	-1.34299, 	-29, 	19.8803, 	1, 	3.04
2, 	-1.34299, 	-29, 	19.5123, 	1, 	3.04
2, 	-1.34299, 	-29, 	19.948, 	1, 	3.04
2, 	-2.23869, 	60, 	0, 	0, 	3.04
2, 	-2.23869, 	-13, 	21.8407, 	1, 	3.04
2, 	-1.34299, 	-13, 	22.4563, 	1, 	3.04
2, 	-1.34299, 	-29, 	20.6797, 	1, 	3.04
2, 	-4.03194, 	-29, 	20.4985, 	1, 	3.04
2, 	-4.03194, 	-18, 	0, 	0, 	3.04
2, 	-4.92994, 	-35, 	20.816, 	1, 	3.04
2, 	-4.92994, 	-20, 	22.1428, 	1, 	3.04
2, 	-4.03194, 	-20, 	21.4678, 	1, 	3.04
2, 	-4.03194, 	-35, 	19.2233, 	1, 	3.04
2, 	-4.03194, 	-35, 	0, 	0, 	3.04
2, 	-4.03194, 	-2, 	18.9807, 	1, 	3.04
2, 	-4.03194, 	-1, 	20.2348, 	1, 	3.04
2, 	-4.03194, 	-1, 	25.995, 	1, 	3.04
2, 	-4.03194, 	-1, 	26.7766, 	1, 	3.04
2, 	-5.82915, 	-1, 	24.2837, 	1, 	3.04
2, 	-5.82915, 	43, 	0, 	0, 	3.04
2, 	-4.03194, 	41, 	21.9962, 	1, 	3.04
2, 	-4.03194, 	-1, 	18.8363, 	1, 	3.04
2, 	-2.23869, 	-1, 	25.424, 	1, 	3.04
2, 	-2.23869, 	-13, 	25.8121, 	1, 	3.04
