(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:36:37.729, 	1, 	2, 	14.6062, 	18.6257, 	1, 	-1.38778e-15, 	3.04, 	(0.105748,0.068972);
15:36:37.773, 	1, 	2, 	15.5946, 	19.199, 	1, 	-1.38778e-15, 	3.04, 	(0.099802,-0.0356323);
15:36:37.773, 	1, 	2, 	16.7549, 	19.2695, 	1, 	-1.38778e-15, 	3.04, 	(0.0308808,0.237731);
15:36:37.789, 	1, 	2, 	19.3452, 	17.794, 	1, 	-1.38778e-15, 	3.04, 	(-0.0852609,0.110006);
15:36:37.809, 	1, 	2, 	19.2369, 	19.5069, 	1, 	-1.38778e-15, 	3.04, 	(-0.17692,-0.099147);
15:36:37.829, 	1, 	2, 	16.5876, 	17.8014, 	1, 	-1.38778e-15, 	3.04, 	(-0.157547,0.100755);
15:36:37.871, 	1, 	2, 	17.0977, 	19.083, 	1, 	-1.38778e-15, 	3.04, 	(0.174399,0.0776376);
15:36:37.871, 	1, 	2, 	18.1999, 	21.5214, 	1, 	-1.38778e-15, 	3.04, 	(0.0257778,-0.271149);
15:36:37.890, 	1, 	2, 	19.5155, 	19.8852, 	1, 	-1.38778e-15, 	3.04, 	(0.0576204,-0.252108);
15:36:37.910, 	1, 	2, 	18.234, 	21.5721, 	1, 	-1.38778e-15, 	3.04, 	(0.27766,0.160347);
15:36:37.930, 	1, 	2, 	19.9284, 	21.0919, 	1, 	-1.38778e-15, 	3.04, 	(-0.103243,0.305038);
15:36:37.970, 	1, 	2, 	20.9182, 	21.8881, 	1, 	-1.38778e-15, 	3.04, 	(0.158473,0.248369);
15:36:37.971, 	1, 	2, 	19.5082, 	21.9888, 	1, 	-1.38778e-15, 	3.04, 	(0.294807,-0.159893);
15:36:37.991, 	1, 	2, 	20.5744, 	19.6563, 	1, 	-1.38778e-15, 	3.04, 	(-0.0536399,-0.174524);
15:36:38.010, 	1, 	2, 	22.0175, 	21.973, 	1, 	-1.38778e-15, 	3.04, 	(0.299856,0.0758909);
15:36:38.031, 	1, 	2, 	20.8011, 	21.3371, 	1, 	-1.38778e-15, 	3.04, 	(-0.276972,0.0668001);
15:36:38.070, 	1, 	2, 	21.0169, 	22.3419, 	1, 	-1.38778e-15, 	3.04, 	(0.338397,0.186823);
15:36:38.071, 	1, 	2, 	21.024, 	22.672, 	1, 	-1.38778e-15, 	3.04, 	(-0.00494508,-0.365285);
15:36:38.092, 	1, 	2, 	19.0973, 	21.5797, 	1, 	-1.38778e-15, 	3.04, 	(0.255957,0.249873);
15:36:38.112, 	1, 	2, 	21.3141, 	22.4894, 	1, 	-1.38778e-15, 	3.04, 	(0.320825,0.141706);
15:36:38.132, 	1, 	2, 	22.116, 	22.4116, 	1, 	-1.38778e-15, 	3.04, 	(0.153314,0.165127);
15:36:38.170, 	1, 	2, 	18.4632, 	19.9691, 	1, 	-1.38778e-15, 	3.04, 	(-0.185449,-0.22892);
15:36:38.173, 	1, 	2, 	23.9473, 	21.6021, 	1, 	-1.38778e-15, 	3.04, 	(-0.0651419,-0.241133);
15:36:38.192, 	1, 	2, 	22.86, 	21.0726, 	1, 	-1.38778e-15, 	3.04, 	(-0.263986,0.153974);
15:36:38.212, 	1, 	2, 	23.9677, 	23.9763, 	1, 	-1.38778e-15, 	3.04, 	(0.0733927,0.404448);
15:36:38.232, 	1, 	2, 	24.5811, 	23.361, 	1, 	-1.38778e-15, 	3.04, 	(-0.00885426,-0.37725);
15:36:38.271, 	1, 	2, 	24.1975, 	24.475, 	1, 	-1.38778e-15, 	3.04, 	(-0.126491,-0.486697);
15:36:38.273, 	0, 	2, 	24.9355, 	24.475, 	1, 	-1.38778e-15, 	3.04, 	(-0.126491,-0.486697);
15:36:38.293, 	0, 	2, 	20.9468, 	19.8037, 	0, 	4, 	2.736, 	(-0.257247,0.0559853);
15:36:38.307, 	1, 	1, 	25.5986, 	23.4353, 	0, 	8, 	2.128, 	(-0.103188,0.821385);(-0.887469,0.329642);(-0.431004,-0.1571);(-0.299787,-0.406743);
15:36:38.333, 	1, 	2, 	26.0225, 	21.1153, 	1, 	8, 	2.128, 	(0.235032,0.119625);
15:36:38.370, 	0, 	2, 	19.2838, 	19.3557, 	1, 	8, 	2.128, 	(0.253297,-0.115016);
