(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:54:54.771, 	1, 	1, 	15.8296, 	11.7177, 	0, 	12, 	1.824, 	(-0.10608,0.300469);(-0.0917702,-0.66033);(0.25197,0.0889506);(-0.14277,0.166722);
15:55:09.741, 	1, 	2, 	14.3083, 	16.9219, 	1, 	12, 	1.824, 	(-0.121455,0.11791);
15:55:09.775, 	1, 	2, 	13.9819, 	17.099, 	1, 	12, 	1.824, 	(0.0692822,0.14438);
15:55:09.781, 	1, 	2, 	13.2016, 	15.189, 	1, 	12, 	2.128, 	(-0.0496921,0.0924008);
15:55:09.801, 	1, 	2, 	15.1178, 	16.7747, 	1, 	12, 	2.128, 	(-0.0348343,0.146207);
15:55:09.821, 	1, 	2, 	15.5682, 	17.9357, 	1, 	12, 	2.432, 	(-0.127105,-0.0368312);
15:55:09.841, 	1, 	2, 	15.8331, 	15.6771, 	1, 	12, 	2.432, 	(0.144227,0.127982);
15:55:09.871, 	1, 	2, 	14.2322, 	16.6062, 	1, 	12, 	2.432, 	(0.175261,0.064088);
15:55:09.881, 	1, 	2, 	15.359, 	18.7304, 	1, 	12, 	2.736, 	(-0.138582,-0.161678);
15:55:09.902, 	1, 	2, 	17.2084, 	19.9315, 	1, 	12, 	2.736, 	(0.212126,-0.0285535);
15:55:09.922, 	1, 	2, 	16.2281, 	20.1202, 	1, 	12, 	3.04, 	(0.101377,-0.219657);
15:55:09.942, 	1, 	2, 	17.5917, 	19.6351, 	1, 	12, 	3.04, 	(-0.0466015,-0.168407);
15:55:09.969, 	1, 	2, 	18.795, 	21.4656, 	1, 	12, 	3.04, 	(0.206565,-0.126877);
15:55:09.982, 	1, 	2, 	19.8774, 	20.788, 	1, 	8, 	3.04, 	(0.208978,0.111488);
15:55:10.003, 	1, 	2, 	18.4174, 	20.0454, 	1, 	8, 	3.04, 	(0.216522,0.155435);
