2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	24.4603, 	-60, 	26.1534, 	1, 	1.52
2, 	24.4603, 	32, 	0, 	0, 	1.52
2, 	41.6104, 	32, 	16.9219, 	1, 	1.824
2, 	40.4239, 	32, 	15.189, 	1, 	2.128
2, 	40.4239, 	23, 	16.7747, 	1, 	2.128
2, 	40.4239, 	23, 	17.9357, 	1, 	2.432
2, 	40.4239, 	23, 	15.6771, 	1, 	2.432
2, 	36.9819, 	28, 	16.6062, 	1, 	2.432
2, 	36.9819, 	28, 	18.7304, 	1, 	2.736
2, 	33.6892, 	28, 	19.9315, 	1, 	2.736
2, 	33.6892, 	32, 	20.1202, 	1, 	3.04
2, 	14.9403, 	32, 	19.6351, 	1, 	3.04
2, 	14.9403, 	34, 	21.4656, 	1, 	3.04
2, 	12.1773, 	34, 	20.788, 	1, 	3.04
2, 	12.1773, 	27, 	20.0454, 	1, 	3.04
2, 	14.9403, 	27, 	21.4579, 	1, 	3.04
2, 	14.9403, 	34, 	20.721, 	1, 	3.04
2, 	11.263, 	29, 	19.7785, 	1, 	3.04
2, 	11.263, 	29, 	20.4583, 	1, 	3.04
2, 	14.0157, 	29, 	21.1479, 	1, 	3.04
2, 	14.0157, 	32, 	20.6663, 	1, 	3.04
2, 	10.3516, 	32, 	20.6663, 	1, 	3.04
2, 	10.3516, 	33, 	21.5, 	1, 	3.04
2, 	9.44278, 	10, 	21.0835, 	1, 	3.04
2, 	9.44278, 	10, 	22.1925, 	1, 	3.04
2, 	9.44278, 	10, 	21.8746, 	1, 	3.04
2, 	9.44278, 	10, 	22.473, 	1, 	3.04
2, 	10.3516, 	10, 	23.2634, 	1, 	3.04
2, 	10.3516, 	33, 	22.989, 	1, 	3.04
2, 	9.44278, 	33, 	23.1203, 	1, 	3.04
2, 	9.44278, 	10, 	23.6095, 	1, 	3.04
2, 	8.53639, 	10, 	21.7265, 	1, 	3.04
2, 	7.63215, 	10, 	24.2338, 	1, 	3.04
2, 	7.63215, 	19, 	18.093, 	1, 	3.04
2, 	6.72981, 	19, 	24.6473, 	1, 	3.04
2, 	6.72981, 	20, 	25.9576, 	1, 	3.04
2, 	5.82915, 	33, 	25.7233, 	1, 	3.04
2, 	5.82915, 	33, 	22.4369, 	1, 	3.04
2, 	4.03194, 	33, 	21.6483, 	0, 	3.04
2, 	4.03194, 	1, 	20.4864, 	0, 	2.736
1, 	4.03194, 	1, 	22.4465, 	1, 	2.128
1, 	1.34299, 	1, 	23.813, 	1, 	1.824
2, 	1.34299, 	20, 	25.8836, 	1, 	1.824
2, 	3.13493, 	20, 	25.4872, 	1, 	1.824
2, 	3.13493, 	19, 	24.7563, 	1, 	1.824
2, 	-0.447628, 	-9, 	0, 	0, 	1.824
2, 	-0.447628, 	-9, 	21.6673, 	1, 	1.824
2, 	1.34299, 	-9, 	22.6111, 	1, 	1.824
2, 	1.34299, 	20, 	24.3307, 	1, 	2.128
2, 	-3.13493, 	20, 	23.1218, 	1, 	2.432
2, 	-3.13493, 	1, 	0, 	0, 	2.432
2, 	-0.447628, 	1, 	25.6914, 	1, 	3.04
2, 	-0.447628, 	-9, 	22.9406, 	1, 	3.04
2, 	-1.34299, 	-9, 	25.1848, 	1, 	3.04
2, 	-1.34299, 	-15, 	22.2828, 	1, 	3.04
2, 	-4.03194, 	-17, 	0, 	0, 	3.04
2, 	-4.03194, 	-17, 	23.8981, 	1, 	3.04
2, 	-4.03194, 	-17, 	22.6263, 	1, 	3.04
2, 	-4.03194, 	-17, 	23.0309, 	1, 	3.04
2, 	-4.92994, 	-17, 	21.8429, 	1, 	3.04
2, 	-4.92994, 	-30, 	0, 	0, 	3.04
2, 	-3.13493, 	-30, 	19.8047, 	1, 	3.04
2, 	-3.13493, 	1, 	19.8278, 	1, 	3.04
2, 	-3.13493, 	1, 	25.3495, 	1, 	3.04
2, 	-3.13493, 	1, 	26.7222, 	1, 	3.04
2, 	-4.03194, 	-17, 	25.3336, 	1, 	3.04
2, 	-5.82915, 	-17, 	25.3858, 	1, 	3.04
2, 	-5.82915, 	-35, 	14.8419, 	0, 	3.04
2, 	-40.4239, 	-1, 	21.6795, 	1, 	2.736
1, 	-40.4239, 	-50, 	26.5051, 	1, 	2.432
2, 	-6.72981, 	-50, 	21.7806, 	1, 	2.432
2, 	-6.72981, 	-22, 	22.1653, 	1, 	2.432
2, 	-9.44278, 	-22, 	24.3415, 	1, 	2.432
2, 	-9.44278, 	-31, 	24.9289, 	1, 	2.432
2, 	-10.3516, 	-9, 	24.8793, 	1, 	2.432
2, 	-2.23869, 	-9, 	25.1634, 	1, 	2.432
2, 	-2.23869, 	-26, 	26.1487, 	1, 	2.736
2, 	-16.8018, 	-26, 	24.482, 	1, 	2.736
2, 	-3.13493, 	-31, 	23.1166, 	1, 	3.04
2, 	-3.13493, 	1, 	24.6309, 	1, 	3.04
2, 	-4.92994, 	1, 	23.1306, 	1, 	3.04
2, 	-4.92994, 	-30, 	24.6208, 	1, 	3.04
2, 	-14.9403, 	-25, 	22.6327, 	1, 	3.04
2, 	-14.9403, 	-25, 	23.8054, 	1, 	3.04
2, 	-16.8018, 	-25, 	24.678, 	1, 	3.04
2, 	-16.8018, 	-31, 	25.3115, 	1, 	3.04
2, 	-5.82915, 	-31, 	24.1603, 	1, 	3.04
2, 	-5.82915, 	-1, 	22.6722, 	1, 	3.04
2, 	-1.34299, 	-1, 	23.5875, 	1, 	3.04
2, 	-1.34299, 	-15, 	23.8064, 	1, 	3.04
2, 	-17.7394, 	-15, 	25.2722, 	1, 	3.04
2, 	-17.7394, 	-49, 	20.8603, 	1, 	3.04
2, 	-19.6296, 	-31, 	19.1739, 	1, 	3.04
2, 	-19.6296, 	-31, 	20.8251, 	1, 	3.04
2, 	-22.508, 	-31, 	24.2699, 	1, 	3.04
2, 	-22.508, 	-37, 	22.449, 	1, 	3.04
2, 	-21.5423, 	-37, 	22.4455, 	1, 	3.04
2, 	-24.4603, 	-22, 	22.0879, 	1, 	3.04
2, 	-24.4603, 	-32, 	22.0583, 	1, 	3.04
