(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:47:01.230, 	0, 	1, 	14.4318, 	10.6309, 	0, 	4, 	2.736, 	(0.519342,0.653127);(-0.840869,-0.493502);(0.359384,-0.252177);(-0.038027,0.147895);
15:47:19.634, 	1, 	2, 	15.4352, 	18.0295, 	1, 	8, 	2.432, 	(-0.0490713,-0.0897682);
15:47:19.670, 	1, 	2, 	15.1755, 	16.2076, 	1, 	8, 	2.432, 	(0.0330739,-0.149311);
15:47:19.675, 	1, 	2, 	14.6821, 	17.8842, 	1, 	8, 	2.432, 	(0.161271,-0.0809381);
15:47:19.695, 	1, 	2, 	14.8773, 	16.5858, 	1, 	8, 	2.432, 	(-0.0353149,0.112074);
15:47:19.715, 	0, 	2, 	14.9543, 	8.46616, 	1, 	8, 	2.432, 	(-0.0220767,-0.0267392);
15:47:19.735, 	1, 	2, 	15.2587, 	18.2506, 	1, 	12, 	2.128, 	(-0.0590634,0.1377);
15:47:19.772, 	1, 	1, 	15.2905, 	15.4623, 	0, 	12, 	1.824, 	(-0.288751,0.0761661);(-0.0766857,-0.353326);(0.151589,-0.0867822);(0.151501,0.0932341);
15:47:19.775, 	0, 	2, 	11.2826, 	8.46122, 	0, 	12, 	1.824, 	(-0.0101111,-0.0449165);
15:47:19.791, 	1, 	1, 	17.5851, 	11.3374, 	0, 	16, 	1.52, 	(-0.122891,-0.383239);(0.498106,-0.017054);(0.0823184,0.336963);(-0.201691,0.261842);
15:47:19.811, 	1, 	1, 	14.3603, 	19.6026, 	0, 	16, 	1.52, 	(-0.341096,0.197734);(-0.0765987,-0.461381);(0.311189,-0.184373);(0.281673,0.147317);
15:47:19.836, 	1, 	2, 	15.0492, 	17.23, 	1, 	16, 	1.52, 	(-0.018812,-0.173857);
15:47:19.870, 	1, 	2, 	15.8977, 	17.2984, 	1, 	16, 	1.52, 	(0.0153519,-0.174025);
15:47:19.876, 	1, 	2, 	16.7695, 	17.2984, 	1, 	16, 	1.52, 	(0.0153519,-0.174025);
15:47:19.896, 	1, 	2, 	17.787, 	18.5157, 	1, 	16, 	1.52, 	(-0.101918,0.166572);
15:47:19.916, 	1, 	2, 	15.5352, 	19.3727, 	1, 	16, 	1.824, 	(0.0502911,0.204485);
15:47:19.936, 	1, 	2, 	17.8802, 	17.7654, 	1, 	16, 	1.824, 	(-0.0242098,0.179832);
15:47:19.970, 	1, 	2, 	16.8589, 	18.2309, 	1, 	16, 	2.128, 	(0.037341,-0.22686);
15:47:19.976, 	1, 	2, 	19.6813, 	18.3949, 	1, 	16, 	2.432, 	(0.0605723,-0.227328);
15:47:19.997, 	1, 	2, 	16.0131, 	20.8871, 	1, 	16, 	2.736, 	(0.233275,-0.0639051);
15:47:20.017, 	1, 	2, 	18.7172, 	20.2021, 	1, 	16, 	3.04, 	(0.0157595,-0.179164);
15:47:20.037, 	1, 	2, 	19.0043, 	22.4644, 	1, 	16, 	3.04, 	(0.017592,-0.159168);
15:47:20.069, 	1, 	2, 	18.8138, 	20.7131, 	1, 	16, 	3.04, 	(0.250847,0.047419);
15:47:20.078, 	1, 	2, 	19.7403, 	20.7165, 	1, 	16, 	3.04, 	(-0.161206,0.178542);
15:47:20.098, 	1, 	2, 	19.2967, 	19.6702, 	1, 	12, 	3.04, 	(-0.0244968,0.227849);
