(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:49:47.789, 	0, 	1, 	14.1468, 	8.28928, 	1, 	4, 	3.04, 	(0.647386,0.425589);(-0.936374,-0.221898);(0.326745,-0.334137);(-0.137349,0.121046);
15:50:02.370, 	1, 	2, 	18.0597, 	16.9567, 	1, 	8, 	2.736, 	(-0.12129,0.129014);
15:50:02.384, 	1, 	2, 	17.7193, 	16.4877, 	1, 	8, 	2.736, 	(0.0812505,-0.14154);
15:50:02.400, 	0, 	2, 	15.2785, 	16.0132, 	1, 	8, 	2.736, 	(0.132712,0.0527732);
15:50:02.420, 	1, 	2, 	16.4045, 	16.8588, 	1, 	12, 	2.432, 	(0.149829,0.0282338);
15:50:02.440, 	1, 	1, 	16.603, 	17.9148, 	0, 	12, 	2.128, 	(-0.28091,-0.250418);(0.354393,-0.284927);(0.324083,0.151726);(0.0623765,0.360385);
15:50:02.470, 	1, 	2, 	18.1373, 	18.2799, 	1, 	12, 	2.128, 	(0.0411488,0.224173);
15:50:02.481, 	1, 	2, 	18.0465, 	18.8398, 	1, 	8, 	2.128, 	(0.0417609,0.21824);
15:50:02.501, 	1, 	2, 	17.9851, 	16.8919, 	1, 	8, 	2.128, 	(0.142959,-0.0855689);
15:50:02.521, 	1, 	2, 	18.1458, 	20.9819, 	1, 	8, 	2.128, 	(0.192057,0.0071879);
15:50:02.541, 	1, 	2, 	20.2882, 	20.6022, 	1, 	8, 	2.432, 	(0.138533,0.0738032);
15:50:02.581, 	1, 	2, 	17.9168, 	21.4812, 	1, 	8, 	2.432, 	(0.0479715,0.124828);
15:50:02.582, 	1, 	2, 	21.5541, 	21.0267, 	1, 	8, 	2.432, 	(-0.115729,-0.214944);
15:50:02.601, 	1, 	2, 	19.7992, 	22.517, 	1, 	8, 	2.736, 	(0.284747,-0.159157);
15:50:02.622, 	1, 	2, 	19.6496, 	20.622, 	1, 	8, 	2.736, 	(-0.114766,0.119065);
15:50:02.642, 	1, 	2, 	18.8205, 	20.3439, 	1, 	8, 	3.04, 	(0.287871,-0.0614467);
15:50:02.669, 	1, 	2, 	19.4991, 	21.1376, 	1, 	8, 	3.04, 	(-0.109793,-0.281972);
15:50:02.682, 	1, 	2, 	20.7281, 	20.573, 	1, 	8, 	3.04, 	(-0.245918,-0.129296);
15:50:02.702, 	1, 	2, 	18.5675, 	20.2172, 	1, 	8, 	3.04, 	(0.0864475,-0.267164);
15:50:02.722, 	1, 	2, 	21.538, 	20.6949, 	1, 	8, 	3.04, 	(0.153522,0.170191);
15:50:02.743, 	1, 	2, 	22.1212, 	21.6505, 	1, 	8, 	3.04, 	(-0.221805,0.106416);
