(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:51:07.843, 	1, 	1, 	16.5777, 	15.8366, 	0, 	-1.38778e-15, 	2.736, 	(-0.443616,-0.0898819);(0.828458,-0.174957);(-0.134986,0.412717);(-0.233003,-0.211735);
15:51:22.471, 	1, 	2, 	13.8637, 	21.9964, 	1, 	-1.38778e-15, 	2.736, 	(-0.0645767,-0.275863);
15:51:22.472, 	0, 	2, 	-1.4668, 	-0.982158, 	1, 	-1.38778e-15, 	2.736, 	(0.0402351,-0.00176881);
15:51:22.505, 	0, 	1, 	10.4565, 	7.57185, 	0, 	4, 	2.432, 	(0.188356,-0.29173);(-0.386275,0.298849);(0.293046,-0.523368);(0.409964,0.537979);
15:51:22.545, 	0, 	1, 	10.8034, 	6.34445, 	0, 	8, 	2.128, 	(-0.0420247,-0.129546);(0.127376,0.336567);(-0.422366,-0.0565645);(0.0701855,-0.29569);
15:51:22.587, 	0, 	1, 	9.71996, 	7.71642, 	0, 	12, 	1.824, 	(0.106759,0.197222);(-0.128765,-0.0148597);(-0.0359761,-0.0537678);(0.0248463,-0.0365255);
15:51:22.587, 	1, 	1, 	13.2904, 	13.3452, 	0, 	16, 	1.216, 	(0.0406325,-0.280098);(0.206548,0.460039);(-0.293074,0.0443425);(0.0072227,-0.212815);
15:51:22.605, 	0, 	1, 	11.9187, 	8.35861, 	0, 	16, 	1.216, 	(-0.443441,0.213465);(0.327353,-0.350338);(0.0392763,0.0637577);(0.136662,-0.140991);
15:51:22.625, 	1, 	1, 	10.287, 	12.3026, 	0, 	20, 	0.608, 	(-0.0096638,0.0732659);(0.338501,0.00596443);(-0.296855,0.319558);(-0.359502,-0.318463);
15:51:22.645, 	0, 	1, 	12.8237, 	5.07515, 	0, 	20, 	0.608, 	(-0.0510225,0.195132);(-0.123915,-0.248587);(0.26363,-0.184363);(0.250474,0.207412);
15:51:22.671, 	1, 	2, 	13.256, 	16.5011, 	1, 	24, 	0.608, 	(0.159305,-0.0288389);
15:51:22.685, 	1, 	1, 	12.7622, 	10.6707, 	0, 	24, 	0.304, 	(-0.223111,-0.191943);(0.366978,-0.086549);(0.0554332,0.0917947);(-0.0800387,0.058158);
15:51:22.708, 	1, 	2, 	13.4198, 	15.7186, 	1, 	24, 	0.608, 	(0.0479563,-0.0869654);
15:51:22.729, 	1, 	2, 	13.7652, 	15.646, 	1, 	24, 	0.912, 	(0.0609487,0.0101007);
15:51:22.779, 	1, 	2, 	12.6395, 	17.6676, 	1, 	24, 	1.216, 	(0.174338,-0.0706823);
15:51:22.779, 	1, 	2, 	10.9124, 	15.0217, 	1, 	24, 	1.52, 	(0.0573043,-0.0720688);
15:51:22.789, 	0, 	2, 	13.0358, 	12.6872, 	1, 	24, 	1.52, 	(-0.0250926,-0.0260294);
15:51:22.806, 	1, 	1, 	13.855, 	15.8252, 	0, 	28, 	1.52, 	(0.297596,0.19896);(-0.27687,0.158832);(-0.272287,-0.149281);(-0.00452949,-0.341383);
15:51:22.826, 	1, 	1, 	14.2581, 	16.6587, 	0, 	28, 	1.52, 	(0.160214,0.301279);(-0.368803,0.0616647);(-0.141894,-0.329101);(0.238253,-0.247814);
15:51:22.881, 	1, 	2, 	14.7663, 	15.3245, 	1, 	28, 	1.824, 	(0.0420329,-0.13788);
15:51:22.881, 	1, 	2, 	13.8934, 	16.3475, 	1, 	28, 	1.824, 	(-0.150177,-0.00552041);
15:51:22.890, 	1, 	2, 	15.4308, 	17.984, 	1, 	28, 	2.128, 	(-0.112052,0.125401);
15:51:22.910, 	1, 	2, 	15.5432, 	17.0735, 	1, 	28, 	2.128, 	(0.131557,0.121732);
15:51:22.930, 	1, 	2, 	15.4287, 	17.2581, 	1, 	28, 	2.128, 	(-0.0134316,0.129043);
15:51:22.969, 	1, 	2, 	15.6043, 	18.4584, 	1, 	28, 	2.128, 	(-0.167838,-0.0754222);
15:51:22.972, 	1, 	2, 	14.6489, 	16.7426, 	1, 	28, 	2.128, 	(-0.0287919,-0.191028);
15:51:22.990, 	1, 	2, 	16.3076, 	20.1013, 	1, 	28, 	2.432, 	(0.0720223,-0.206331);
15:51:23.010, 	1, 	2, 	17.6333, 	17.6943, 	1, 	24, 	2.736, 	(-0.030187,0.132524);
15:51:23.031, 	1, 	2, 	17.7083, 	19.1868, 	1, 	20, 	3.04, 	(0.0927041,0.192723);
15:51:23.070, 	1, 	2, 	17.5216, 	18.8821, 	1, 	16, 	3.04, 	(0.066442,-0.260284);
15:51:23.071, 	1, 	2, 	17.6617, 	18.9369, 	1, 	12, 	3.04, 	(-0.238484,0.0460537);
15:51:23.091, 	1, 	2, 	19.9267, 	18.0585, 	1, 	12, 	3.04, 	(0.166968,0.160542);
15:51:23.111, 	1, 	2, 	17.8292, 	19.3187, 	1, 	8, 	3.04, 	(0.189158,0.100317);
15:51:23.131, 	1, 	2, 	19.7033, 	21.2588, 	1, 	8, 	3.04, 	(-0.0793015,-0.182681);
15:51:23.171, 	1, 	2, 	21.283, 	21.798, 	1, 	4, 	3.04, 	(0.160219,0.244828);
15:51:23.177, 	1, 	2, 	18.2226, 	21.8213, 	1, 	4, 	3.04, 	(0.0118033,-0.314636);
15:51:23.192, 	1, 	2, 	20.4252, 	21.2433, 	1, 	4, 	3.04, 	(-0.167054,-0.111307);
15:51:23.212, 	1, 	2, 	21.3297, 	21.0262, 	1, 	4, 	3.04, 	(0.0182925,0.16);
15:51:23.232, 	1, 	2, 	18.3751, 	19.3187, 	1, 	4, 	3.04, 	(0.209815,0.134903);
15:51:23.280, 	1, 	2, 	21.5555, 	22.4811, 	1, 	4, 	3.04, 	(-0.254875,-0.304076);
15:51:23.281, 	1, 	2, 	23.1107, 	20.4313, 	1, 	4, 	3.04, 	(-0.188466,0.0418539);
15:51:23.293, 	1, 	2, 	22.964, 	20.8529, 	1, 	-1.38778e-15, 	3.04, 	(0.210687,0.163125);
