(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);15:53:34.678, 	0, 	1, 	10.959, 	9.42005, 	0, 	44, 	0.912, 	(0.566353,0.220979);(-0.488032,-0.0225401);(-0.050472,-0.0336615);(-0.0992521,-0.0655498);
15:53:50.599, 	0, 	2, 	14.1253, 	9.6106, 	0, 	44, 	0.912, 	(-0.0173371,0.0395943);
15:53:50.618, 	1, 	2, 	15.7253, 	17.4961, 	1, 	44, 	1.216, 	(-0.0566254,-0.131586);
15:53:50.634, 	1, 	1, 	16.3235, 	12.4817, 	0, 	40, 	1.216, 	(-0.059601,-0.349784);(0.470995,0.23135);(-0.179105,0.454438);(-0.387519,0.0256934);
15:53:50.669, 	1, 	2, 	14.7312, 	16.5047, 	1, 	40, 	1.52, 	(-0.1576,0.0706657);
15:53:50.679, 	1, 	2, 	17.1341, 	18.1295, 	1, 	40, 	1.52, 	(0.112866,-0.0400912);
15:53:50.699, 	1, 	2, 	16.0045, 	16.6368, 	1, 	40, 	1.824, 	(0.0662217,-0.0798215);
15:53:50.719, 	1, 	2, 	14.784, 	18.0943, 	1, 	40, 	1.824, 	(0.169352,0.00534386);
15:53:50.739, 	1, 	2, 	14.2841, 	17.2845, 	1, 	36, 	1.824, 	(-0.0956598,-0.134174);
15:53:50.769, 	1, 	2, 	17.4878, 	19.7351, 	1, 	36, 	2.128, 	(0.0605974,0.126568);
15:53:50.779, 	1, 	2, 	16.1123, 	17.8282, 	1, 	32, 	2.432, 	(-0.115113,0.0318012);
15:53:50.799, 	1, 	2, 	16.4674, 	16.0938, 	1, 	32, 	2.736, 	(-0.124645,0.125114);
15:53:50.820, 	0, 	2, 	15.7644, 	12.7725, 	1, 	32, 	2.736, 	(-0.0234696,-0.0611228);
15:53:50.840, 	1, 	2, 	17.7187, 	18.0815, 	1, 	32, 	2.736, 	(0.145771,-0.0819924);
15:53:50.870, 	1, 	1, 	18.1608, 	18.6291, 	0, 	28, 	2.432, 	(0.272329,0.260203);(-0.421433,0.26181);(-0.460116,-0.327508);(0.00342026,-0.543884);
15:53:50.880, 	1, 	2, 	17.1311, 	16.0611, 	1, 	24, 	2.432, 	(0.145473,0.106738);
15:53:50.900, 	1, 	2, 	18.3394, 	19.0655, 	1, 	20, 	2.432, 	(0.124902,-0.127785);
15:53:50.920, 	1, 	2, 	19.1956, 	18.7321, 	1, 	20, 	2.432, 	(-0.0959642,0.0977277);
15:53:50.940, 	1, 	2, 	17.5782, 	19.0313, 	1, 	20, 	2.432, 	(0.167624,-0.235967);
15:53:50.970, 	1, 	2, 	19.2825, 	19.4833, 	1, 	16, 	2.432, 	(0.109558,0.260009);
15:53:50.981, 	1, 	2, 	19.1324, 	20.6647, 	1, 	16, 	2.432, 	(0.0211978,-0.265315);
15:53:51.001, 	1, 	2, 	20.3381, 	20.4909, 	1, 	16, 	2.432, 	(-0.107621,-0.223655);
15:53:51.021, 	1, 	2, 	20.835, 	21.1283, 	1, 	16, 	2.736, 	(0.307094,0.0281524);
15:53:51.041, 	1, 	2, 	21.7035, 	20.4821, 	1, 	16, 	2.736, 	(0.082156,-0.164747);
15:53:51.074, 	1, 	2, 	20.4179, 	21.2699, 	1, 	12, 	3.04, 	(-0.26628,0.0884467);
15:53:51.082, 	1, 	2, 	21.1024, 	20.5637, 	1, 	8, 	3.04, 	(0.0105914,-0.256377);
15:53:51.102, 	1, 	2, 	20.8226, 	21.065, 	1, 	4, 	3.04, 	(0.0340841,0.19052);
15:53:51.122, 	1, 	2, 	21.7082, 	21.2641, 	1, 	4, 	3.04, 	(-0.033371,-0.165631);
15:53:51.142, 	1, 	2, 	21.1354, 	19.6921, 	1, 	4, 	3.04, 	(-0.0529807,0.29225);
15:53:51.176, 	1, 	2, 	23.42, 	22.4231, 	1, 	4, 	3.04, 	(-0.145004,0.162826);
15:53:51.183, 	1, 	2, 	23.055, 	21.372, 	1, 	4, 	3.04, 	(-0.0696706,-0.162002);
15:53:51.203, 	1, 	2, 	19.9478, 	22.7997, 	1, 	4, 	3.04, 	(-0.0455404,-0.406209);
15:53:51.223, 	1, 	2, 	20.741, 	21.3644, 	1, 	4, 	3.04, 	(0.180488,0.277122);
15:53:51.243, 	1, 	2, 	22.6091, 	22.5121, 	1, 	4, 	3.04, 	(-0.300509,0.116476);
15:53:51.277, 	1, 	2, 	25.2447, 	21.9043, 	1, 	4, 	3.04, 	(-0.21123,-0.211809);
15:53:51.283, 	1, 	2, 	25.3936, 	22.7021, 	1, 	4, 	3.04, 	(0.153579,0.216377);
15:53:51.303, 	1, 	2, 	24.3295, 	22.1367, 	1, 	4, 	3.04, 	(-0.251085,-0.240993);
15:53:51.324, 	1, 	2, 	24.1808, 	22.055, 	1, 	-1.38778e-15, 	3.04, 	(-0.00986546,-0.187699);
15:53:51.344, 	1, 	2, 	25.0521, 	24.8148, 	1, 	-1.38778e-15, 	3.04, 	(-0.44069,0.0960061);
15:53:51.380, 	1, 	2, 	25.8763, 	23.709, 	1, 	-1.38778e-15, 	3.04, 	(0.379093,0.106589);
15:53:51.384, 	1, 	2, 	26.3186, 	24.8142, 	1, 	-1.38778e-15, 	3.04, 	(-0.335483,-0.428895);
15:53:51.404, 	1, 	2, 	26.3721, 	23.5545, 	1, 	-1.38778e-15, 	3.04, 	(-0.402372,0.0298969);
15:53:51.424, 	1, 	2, 	23.7534, 	22.5209, 	1, 	-1.38778e-15, 	3.04, 	(0.355089,-0.284538);
15:53:51.444, 	1, 	2, 	25.6643, 	24.8549, 	1, 	-1.38778e-15, 	3.04, 	(-0.182779,0.229514);
15:53:51.470, 	1, 	2, 	20.2756, 	23.6777, 	1, 	-1.38778e-15, 	3.04, 	(0.439452,0.170462);
15:53:51.485, 	1, 	2, 	23.2559, 	23.8703, 	1, 	-1.38778e-15, 	3.04, 	(-0.477937,0.153701);
15:53:51.505, 	1, 	2, 	26.1506, 	24.2962, 	1, 	-1.38778e-15, 	3.04, 	(-0.217484,0.397013);
15:53:51.525, 	1, 	2, 	26.5554, 	26.192, 	1, 	-1.38778e-15, 	3.04, 	(-0.33022,0.15585);
15:53:51.545, 	1, 	2, 	21.6758, 	24.4331, 	1, 	-1.38778e-15, 	3.04, 	(-0.3353,-0.604587);
15:53:51.571, 	1, 	2, 	24.7612, 	24.2917, 	1, 	-1.38778e-15, 	3.04, 	(0.56616,0.19334);
15:53:51.586, 	1, 	2, 	28.646, 	24.1932, 	1, 	-1.38778e-15, 	3.04, 	(0.577772,0.123126);
15:53:51.607, 	1, 	2, 	20.287, 	22.9259, 	1, 	-1.38778e-15, 	3.04, 	(0.0400684,-0.58089);
15:53:51.626, 	1, 	2, 	28.2393, 	24.0684, 	1, 	-1.38778e-15, 	3.04, 	(-0.023717,-0.456583);
15:53:51.668, 	1, 	2, 	27.2977, 	25.0318, 	1, 	-1.38778e-15, 	3.04, 	(-0.0761764,-0.367633);
15:53:51.669, 	1, 	2, 	30.1013, 	25.3672, 	1, 	-1.38778e-15, 	3.04, 	(-0.543891,0.166895);
15:53:51.686, 	1, 	2, 	28.8371, 	25.4284, 	1, 	-1.38778e-15, 	3.04, 	(-0.598208,0.171957);
15:53:51.707, 	1, 	2, 	27.124, 	25.483, 	1, 	-1.38778e-15, 	3.04, 	(0.45825,-0.664549);
15:53:51.727, 	1, 	2, 	30.2193, 	22.4706, 	1, 	-1.38778e-15, 	3.04, 	(0.267352,0.0891021);
15:53:51.747, 	1, 	2, 	30.7224, 	22.8413, 	1, 	-1.38778e-15, 	3.04, 	(-0.199374,-0.171293);
15:53:51.771, 	1, 	2, 	29.1651, 	23.3646, 	1, 	-1.38778e-15, 	3.04, 	(-0.174187,-0.166297);
15:53:51.787, 	1, 	2, 	29.588, 	26.1243, 	1, 	-1.38778e-15, 	3.04, 	(-0.323756,0.415769);
15:53:51.808, 	1, 	2, 	20.8158, 	24.926, 	1, 	-1.38778e-15, 	3.04, 	(-0.803953,0.415942);
15:53:51.827, 	1, 	2, 	25.1448, 	26.9844, 	1, 	-1.38778e-15, 	3.04, 	(-0.17414,0.940505);
15:53:51.870, 	1, 	2, 	29.0108, 	26.6788, 	1, 	-1.38778e-15, 	3.04, 	(-0.732376,0.592781);
15:53:51.871, 	0, 	2, 	20.4267, 	15.9228, 	1, 	-1.38778e-15, 	3.04, 	(0.191039,0.0835759);
15:53:51.888, 	1, 	2, 	23.6295, 	19.7039, 	1, 	4, 	2.736, 	(-0.0181863,-0.242522);
15:53:51.902, 	1, 	1, 	31.1327, 	23.2324, 	0, 	4, 	2.432, 	(1.24813,-0.8705);(1.49601,-0.296807);(0.550334,-0.22857);(0.701255,-0.302129);
15:53:51.928, 	1, 	2, 	31.7221, 	20.8443, 	1, 	4, 	2.432, 	(0.124606,-0.127654);
15:53:51.974, 	1, 	2, 	22.4385, 	25.4312, 	1, 	4, 	2.432, 	(0.945657,-0.138339);
15:53:51.974, 	1, 	2, 	29.8668, 	25.9655, 	1, 	4, 	2.432, 	(-0.0903824,0.706677);
15:53:51.989, 	1, 	2, 	29.9921, 	21.5981, 	1, 	4, 	2.432, 	(0.0966015,0.0325064);
15:53:52.009, 	1, 	2, 	31.8615, 	25.9745, 	1, 	4, 	2.432, 	(0.112603,0.870234);
15:53:52.029, 	1, 	2, 	30.9093, 	25.1763, 	1, 	4, 	2.432, 	(-0.504955,-0.0308059);
15:53:52.070, 	1, 	2, 	29.9344, 	25.7159, 	1, 	4, 	2.432, 	(0.473865,0.496388);
15:53:52.070, 	1, 	2, 	20.3618, 	23.2684, 	1, 	4, 	2.736, 	(0.653239,0.326302);
15:53:52.090, 	1, 	2, 	30.7758, 	25.6091, 	1, 	4, 	2.736, 	(-0.711801,0.0868604);
15:53:52.110, 	1, 	2, 	27.9754, 	25.1872, 	1, 	4, 	3.04, 	(0.802426,-0.0827342);
15:53:52.130, 	1, 	2, 	19.7249, 	23.8123, 	1, 	4, 	3.04, 	(-0.673659,0.461818);
15:53:52.182, 	1, 	2, 	30.1085, 	25.4044, 	1, 	4, 	3.04, 	(0.562355,-0.434832);
15:53:52.182, 	1, 	2, 	29.9803, 	24.1764, 	1, 	4, 	3.04, 	(-0.476029,-0.177866);
15:53:52.190, 	1, 	2, 	29.0615, 	25.3014, 	1, 	4, 	3.04, 	(0.194674,0.344927);
15:53:52.210, 	1, 	2, 	31.7536, 	25.8758, 	1, 	4, 	3.04, 	(0.156858,-0.616109);
15:53:52.231, 	1, 	2, 	29.8577, 	24.8527, 	1, 	4, 	3.04, 	(0.473185,0.242167);
15:53:52.281, 	1, 	2, 	29.2028, 	24.3292, 	1, 	4, 	3.04, 	(0.227777,-0.0155211);
15:53:52.281, 	1, 	2, 	30.4346, 	24.3507, 	1, 	4, 	3.04, 	(0.334318,0.135354);
15:53:52.291, 	1, 	2, 	30.5421, 	22.977, 	1, 	4, 	3.04, 	(-0.0148291,0.0303265);
15:53:52.311, 	1, 	2, 	29.9235, 	21.4532, 	1, 	4, 	3.04, 	(0.0544419,-0.0179726);
15:53:52.331, 	1, 	2, 	20.1612, 	19.8207, 	1, 	4, 	3.04, 	(0.287074,0.0244227);
15:53:52.370, 	1, 	2, 	23.4257, 	20.2893, 	1, 	4, 	3.04, 	(-0.239582,0.0898701);
15:53:52.372, 	1, 	2, 	28.7442, 	24.2834, 	1, 	-1.38778e-15, 	3.04, 	(-0.379347,-0.172125);
15:53:52.392, 	1, 	2, 	29.7, 	24.1257, 	1, 	-1.38778e-15, 	3.04, 	(-0.0847474,-0.539956);
15:53:52.412, 	1, 	2, 	22.3105, 	23.026, 	1, 	-1.38778e-15, 	3.04, 	(-0.444055,-0.373985);
15:53:52.432, 	1, 	2, 	28.6786, 	23.6045, 	1, 	-1.38778e-15, 	3.04, 	(-0.22924,0.316312);
15:53:52.469, 	1, 	2, 	29.1518, 	26.1206, 	1, 	-1.38778e-15, 	3.04, 	(-0.383198,0.679347);
15:53:52.472, 	1, 	2, 	21.5433, 	24.592, 	1, 	-1.38778e-15, 	3.04, 	(0.78004,-0.130076);
15:53:52.493, 	1, 	2, 	25.7294, 	26.0826, 	1, 	-1.38778e-15, 	3.04, 	(0.12548,0.769228);
15:53:52.513, 	1, 	2, 	28.8873, 	25.6567, 	1, 	-1.38778e-15, 	3.04, 	(-0.626521,-0.359896);
15:53:52.533, 	1, 	2, 	28.1993, 	25.7062, 	1, 	-1.38778e-15, 	3.04, 	(0.599638,0.256198);
15:53:52.569, 	1, 	2, 	23.8168, 	25.6387, 	1, 	-1.38778e-15, 	3.04, 	(-0.606452,-0.396714);
15:53:52.573, 	1, 	2, 	27.0677, 	20.649, 	1, 	-1.38778e-15, 	3.04, 	(-0.118786,-0.244452);
15:53:52.593, 	0, 	2, 	19.2186, 	18.3996, 	1, 	-1.38778e-15, 	3.04, 	(-0.265304,-0.0616926);
15:53:52.614, 	0, 	2, 	27.7631, 	20.2089, 	0, 	4, 	2.736, 	(-0.0869625,0.16052);
15:53:52.625, 	1, 	1, 	28.7203, 	21.6636, 	0, 	8, 	2.128, 	(0.959658,0.439904);(1.36971,-0.116812);(0.691035,-1.36823);(-1.19096,-0.970588);
15:53:52.670, 	1, 	2, 	18.7693, 	22.3104, 	1, 	8, 	2.128, 	(0.385071,-0.322344);
15:53:52.674, 	1, 	2, 	21.3224, 	22.881, 	1, 	8, 	2.128, 	(0.0282103,0.492696);
15:53:52.694, 	1, 	2, 	24.8212, 	19.4364, 	1, 	8, 	2.128, 	(0.196504,0.0637063);
15:53:52.714, 	1, 	2, 	25.9936, 	22.1286, 	1, 	8, 	2.128, 	(-0.145918,-0.150411);
15:53:52.734, 	1, 	2, 	20.6208, 	21.4119, 	1, 	8, 	2.128, 	(-0.215649,-0.262301);
15:53:52.771, 	1, 	2, 	27.2829, 	22.7365, 	1, 	8, 	2.128, 	(-0.0279741,0.277645);
15:53:52.776, 	1, 	2, 	26.6816, 	24.3769, 	1, 	8, 	2.128, 	(-0.345394,0.0177544);
15:53:52.795, 	1, 	2, 	26.6494, 	22.3582, 	1, 	8, 	2.432, 	(0.254749,-0.113254);
15:53:52.815, 	1, 	2, 	25.1575, 	21.5634, 	1, 	8, 	2.736, 	(0.207582,0.129959);
15:53:52.835, 	1, 	2, 	25.3417, 	21.9929, 	1, 	8, 	3.04, 	(0.177604,0.245604);
15:53:52.869, 	1, 	2, 	19.0259, 	19.7669, 	1, 	8, 	3.04, 	(-0.280211,0.0644964);
15:53:52.875, 	1, 	2, 	24.9744, 	21.5835, 	1, 	8, 	3.04, 	(-0.066786,-0.228943);
15:53:52.895, 	0, 	2, 	23.5584, 	11.1175, 	1, 	8, 	3.04, 	(0.0181741,-0.0368391);
15:53:52.916, 	1, 	2, 	18.6427, 	21.1841, 	1, 	12, 	2.736, 	(-0.10366,-0.326305);
15:53:52.926, 	1, 	1, 	24.3751, 	19.308, 	0, 	12, 	2.432, 	(-0.77092,0.132358);(-0.360217,0.8333);(0.581108,0.409888);(0.425747,-0.616747);
15:53:52.969, 	1, 	2, 	22.9147, 	22.2463, 	1, 	12, 	2.432, 	(0.0675298,-0.249259);
15:53:52.976, 	1, 	2, 	24.3897, 	21.2483, 	1, 	12, 	2.432, 	(0.0604892,-0.321011);
15:53:52.996, 	1, 	2, 	20.437, 	21.1518, 	1, 	12, 	2.432, 	(0.297132,0.137648);
15:53:53.016, 	1, 	2, 	21.5155, 	21.9754, 	1, 	12, 	2.432, 	(0.0984691,-0.227085);
15:53:53.037, 	1, 	2, 	21.2223, 	21.5385, 	1, 	12, 	2.432, 	(-0.236125,0.241979);
15:53:53.072, 	1, 	2, 	21.4163, 	20.413, 	1, 	12, 	2.432, 	(0.270825,0.0914932);
15:53:53.077, 	1, 	2, 	21.7544, 	21.3663, 	1, 	12, 	2.432, 	(0.114207,0.209658);
15:53:53.097, 	1, 	2, 	20.7733, 	22.396, 	1, 	8, 	2.736, 	(-0.164182,0.254099);
