(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:11:53.251, 	0, 	1, 	9.9002, 	6.63659, 	1, 	20, 	1.824, 	(-0.157742,-0.124506);(0.255711,-0.0664686);(0.0383195,0.111042);(-0.15787,0.050643);
19:12:08.128, 	1, 	2, 	14.8254, 	18.9668, 	1, 	16, 	1.52, 	(-0.0239794,-0.206154);
19:12:08.149, 	0, 	2, 	15.399, 	18.8121, 	1, 	16, 	1.52, 	(-0.0275952,-0.148081);
19:12:08.169, 	1, 	2, 	14.504, 	18.728, 	1, 	20, 	1.216, 	(-0.117167,0.0276942);
19:12:08.182, 	1, 	1, 	14.6277, 	14.831, 	0, 	20, 	1.216, 	(0.00094985,-0.317924);(0.414696,0.319552);(-0.26828,0.516083);(-0.600995,-0.107666);
19:12:08.208, 	1, 	2, 	16.8239, 	18.9959, 	1, 	20, 	1.52, 	(0.17491,0.07433);
19:12:08.228, 	1, 	2, 	16.0812, 	19.3436, 	1, 	20, 	1.824, 	(0.151257,-0.191588);
19:12:08.249, 	1, 	2, 	15.7473, 	20.2542, 	1, 	20, 	2.128, 	(-0.0736431,-0.222271);
19:12:08.269, 	1, 	2, 	15.0355, 	19.1198, 	1, 	20, 	2.128, 	(0.218921,-0.14997);
19:12:08.289, 	1, 	2, 	17.3445, 	19.7493, 	1, 	20, 	2.128, 	(0.14211,0.15571);
19:12:08.310, 	1, 	2, 	15.9015, 	19.7428, 	1, 	20, 	2.432, 	(0.151484,-0.0463762);
19:12:08.330, 	1, 	2, 	14.6638, 	15.7418, 	1, 	20, 	2.432, 	(0.102904,-0.086104);
19:12:08.349, 	1, 	2, 	17.721, 	19.8179, 	1, 	16, 	2.736, 	(0.0980292,-0.216634);
19:12:08.370, 	1, 	2, 	17.5846, 	21.2165, 	1, 	16, 	2.736, 	(-0.189085,0.076912);
19:12:08.390, 	1, 	2, 	17.429, 	21.1394, 	1, 	16, 	3.04, 	(0.251236,0.132194);
19:12:08.414, 	1, 	2, 	16.4562, 	19.2654, 	1, 	16, 	3.04, 	(-0.176196,0.171078);
19:12:08.430, 	1, 	2, 	17.2858, 	19.6853, 	1, 	16, 	3.04, 	(-0.136514,-0.124222);
19:12:08.451, 	1, 	2, 	19.1478, 	21.3733, 	1, 	16, 	3.04, 	(0.17393,-0.259657);
19:12:08.470, 	1, 	2, 	18.202, 	21.2389, 	1, 	16, 	3.04, 	(0.260546,-0.154108);
19:12:08.491, 	1, 	2, 	16.7377, 	20.0218, 	1, 	12, 	3.04, 	(0.0236602,-0.278627);
19:12:08.511, 	1, 	2, 	17.8398, 	18.5739, 	1, 	8, 	3.04, 	(-0.174393,-0.0884927);
19:12:08.531, 	1, 	2, 	19.0833, 	21.6763, 	1, 	8, 	3.04, 	(-0.018945,0.162056);
19:12:08.551, 	1, 	2, 	20.1325, 	21.3703, 	1, 	8, 	3.04, 	(0.2764,0.0583471);
19:12:08.571, 	1, 	2, 	19.5082, 	21.5699, 	1, 	8, 	3.04, 	(0.168815,-0.273144);
19:12:08.591, 	1, 	2, 	19.6364, 	21.3627, 	1, 	8, 	3.04, 	(-0.0959912,-0.313597);
19:12:08.612, 	1, 	2, 	20.0333, 	14.0194, 	1, 	4, 	3.04, 	(-0.0538253,0.108718);
19:12:08.632, 	1, 	2, 	18.7857, 	22.7212, 	1, 	4, 	3.04, 	(0.0283128,-0.40765);
19:12:08.652, 	1, 	2, 	19.4146, 	23.0257, 	1, 	-1.38778e-15, 	3.04, 	(0.357401,-0.217735);
19:12:08.672, 	1, 	2, 	20.3462, 	22.2807, 	1, 	-1.38778e-15, 	3.04, 	(0.0729491,0.233211);
19:12:08.692, 	1, 	2, 	19.6179, 	21.9872, 	1, 	-1.38778e-15, 	3.04, 	(0.343547,-0.132588);
19:12:08.712, 	1, 	2, 	21.4062, 	23.307, 	1, 	-1.38778e-15, 	3.04, 	(0.342655,-0.086009);
19:12:08.733, 	1, 	2, 	20.7011, 	23.9477, 	1, 	-1.38778e-15, 	3.04, 	(-0.198094,-0.407523);
19:12:08.753, 	1, 	2, 	21.1932, 	23.2216, 	1, 	-1.38778e-15, 	3.04, 	(0.0726641,-0.42895);
19:12:08.773, 	1, 	2, 	19.5852, 	15.1254, 	1, 	-1.38778e-15, 	3.04, 	(0.0680194,0.128457);
19:12:08.793, 	1, 	2, 	21.0845, 	22.9424, 	1, 	-1.38778e-15, 	3.04, 	(0.285066,-0.388687);
19:12:08.813, 	1, 	2, 	21.4085, 	18.6133, 	1, 	-1.38778e-15, 	3.04, 	(-0.0352928,-0.0527708);
