(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:20:53.999, 	0, 	2, 	13.5556, 	14.5633, 	1, 	12, 	3.04, 	(0.0323443,-0.123875);
19:20:54.019, 	1, 	2, 	14.9073, 	18.3586, 	1, 	16, 	2.736, 	(0.11473,0.131911);
19:20:54.039, 	1, 	2, 	14.6759, 	17.9325, 	1, 	16, 	2.736, 	(0.0479552,0.149051);
19:20:54.059, 	1, 	2, 	13.7785, 	18.5153, 	1, 	12, 	2.736, 	(-0.117401,0.0719689);
19:20:54.080, 	1, 	2, 	13.2593, 	16.151, 	1, 	8, 	2.736, 	(-0.080094,-0.0358047);
19:20:54.100, 	1, 	2, 	14.2184, 	19.9651, 	1, 	8, 	2.736, 	(0.148695,0.103124);
19:20:54.120, 	0, 	2, 	15.8008, 	11.5118, 	1, 	8, 	2.736, 	(-0.020709,-0.0110041);
19:20:54.140, 	1, 	2, 	15.7178, 	19.2992, 	1, 	8, 	2.432, 	(0.00183948,-0.144641);
19:20:54.156, 	1, 	1, 	16.057, 	14.7129, 	0, 	8, 	2.128, 	(0.0454203,0.363871);(-0.464936,-0.19078);(0.0601112,-0.50886);(0.515772,-0.10258);
19:20:54.180, 	1, 	2, 	16.1554, 	19.1239, 	1, 	8, 	2.128, 	(0.150159,-0.109339);
19:20:54.200, 	1, 	2, 	16.1505, 	19.292, 	1, 	8, 	2.432, 	(-0.0304614,-0.162893);
19:20:54.220, 	1, 	2, 	16.2267, 	19.2739, 	1, 	8, 	2.432, 	(0.0468221,-0.129932);
19:20:54.242, 	1, 	2, 	15.8407, 	19.1445, 	1, 	8, 	2.432, 	(0.102904,-0.0406357);
19:20:54.261, 	1, 	2, 	15.4015, 	16.9727, 	1, 	8, 	2.432, 	(0.122951,0.136335);
19:20:54.281, 	1, 	2, 	15.9987, 	17.4193, 	1, 	8, 	2.432, 	(0.0840247,0.0904676);
19:20:54.301, 	1, 	2, 	16.4112, 	16.9877, 	1, 	8, 	2.432, 	(0.00580381,-0.184175);
19:20:54.321, 	1, 	2, 	16.478, 	18.7567, 	1, 	8, 	2.736, 	(-0.199074,0.0601152);
19:20:54.342, 	1, 	2, 	16.7018, 	17.3955, 	1, 	8, 	2.736, 	(0.223458,-0.0605474);
19:20:54.362, 	1, 	2, 	18.253, 	21.6409, 	1, 	8, 	3.04, 	(0.162264,0.00382858);
19:20:54.382, 	1, 	2, 	18.8419, 	19.5304, 	1, 	8, 	3.04, 	(-0.0945292,0.246473);
19:20:54.402, 	1, 	2, 	18.0943, 	20.7096, 	1, 	8, 	3.04, 	(-0.226021,-0.190112);
19:20:54.422, 	1, 	2, 	18.9219, 	21.1115, 	1, 	8, 	3.04, 	(0.199807,0.00961898);
19:20:54.445, 	1, 	2, 	17.4364, 	19.7913, 	1, 	8, 	3.04, 	(0.0343022,0.143732);
19:20:54.463, 	1, 	2, 	19.1052, 	19.8921, 	1, 	8, 	3.04, 	(-0.130341,0.172694);
19:20:54.483, 	1, 	2, 	18.4699, 	18.876, 	1, 	8, 	3.04, 	(0.11542,0.239011);
19:20:54.503, 	1, 	2, 	20.315, 	20.1, 	1, 	4, 	3.04, 	(0.169814,-0.0222367);
19:20:54.523, 	1, 	2, 	20.8102, 	20.3532, 	1, 	4, 	3.04, 	(-0.153287,-0.071776);
19:20:54.545, 	1, 	2, 	19.9466, 	21.3546, 	1, 	4, 	3.04, 	(0.311923,-0.171354);
19:20:54.564, 	1, 	2, 	21.1984, 	22.5472, 	1, 	4, 	3.04, 	(0.372274,-0.0876624);
19:20:54.584, 	1, 	2, 	20.4593, 	22.469, 	1, 	4, 	3.04, 	(0.15957,-0.199995);
19:20:54.604, 	1, 	2, 	20.5267, 	18.318, 	1, 	4, 	3.04, 	(-0.0463404,0.20448);
19:20:54.624, 	1, 	2, 	20.7296, 	23.263, 	1, 	-1.38778e-15, 	3.04, 	(0.171691,0.250159);
19:20:54.644, 	1, 	2, 	20.7948, 	22.8662, 	1, 	-1.38778e-15, 	3.04, 	(0.116602,0.218605);
19:20:54.664, 	1, 	2, 	21.9651, 	19.9072, 	1, 	-1.38778e-15, 	3.04, 	(0.120123,-0.0706576);
19:20:54.684, 	1, 	2, 	21.1239, 	20.0708, 	1, 	-1.38778e-15, 	3.04, 	(-0.0374505,0.193729);
19:20:54.705, 	1, 	2, 	19.7096, 	22.5808, 	1, 	-1.38778e-15, 	3.04, 	(0.125018,-0.394062);
19:20:54.724, 	0, 	2, 	20.5816, 	19.5514, 	1, 	-1.38778e-15, 	3.04, 	(-0.24027,-0.00355308);
19:20:54.745, 	0, 	2, 	22.3768, 	20.3406, 	0, 	4, 	2.736, 	(-0.237074,0.0368843);
19:20:54.759, 	1, 	1, 	22.4647, 	20.8039, 	0, 	8, 	2.128, 	(0.388792,-0.593397);(0.00754623,0.600374);(-0.576833,0.18008);(-0.180495,0.187057);
19:20:54.779, 	1, 	1, 	23.9695, 	22.4709, 	0, 	8, 	1.824, 	(-0.517243,0.522939);(-0.510232,-0.568979);(0.0597282,-0.311088);(0.320738,-0.126617);
19:20:54.806, 	1, 	2, 	22.6737, 	17.6164, 	1, 	8, 	1.824, 	(-0.0921448,0.0213611);
19:20:54.825, 	1, 	2, 	21.3917, 	18.4748, 	1, 	8, 	1.824, 	(0.0296602,-0.0634124);
19:20:54.846, 	0, 	2, 	22.7429, 	21.5154, 	1, 	8, 	1.824, 	(-0.146085,0.153277);
19:20:54.866, 	1, 	2, 	22.153, 	19.448, 	1, 	12, 	1.52, 	(0.213445,0.156239);
19:20:54.880, 	1, 	1, 	21.6238, 	19.0489, 	0, 	12, 	1.216, 	(-0.364539,0.655634);(-0.758215,-0.712751);(0.25873,-1.30788);(1.22006,-0.750063);
19:20:54.906, 	1, 	2, 	18.1113, 	16.2113, 	1, 	12, 	1.216, 	(-0.0498857,-0.165209);
19:20:54.926, 	1, 	2, 	21.2596, 	15.8266, 	1, 	12, 	1.52, 	(0.170416,-0.0550792);
19:20:54.947, 	1, 	2, 	22.1122, 	16.6734, 	1, 	12, 	1.824, 	(-0.0404039,0.0378814);
19:20:54.966, 	1, 	2, 	18.2835, 	22.4842, 	1, 	12, 	2.128, 	(0.284723,-0.404484);
19:20:54.987, 	1, 	2, 	20.8328, 	24.5064, 	1, 	12, 	2.432, 	(0.231772,-0.437117);
19:20:55.007, 	1, 	2, 	22.2001, 	23.4665, 	1, 	12, 	2.432, 	(-0.131081,0.492659);
19:20:55.028, 	1, 	2, 	23.4252, 	17.4219, 	1, 	12, 	2.432, 	(-0.172409,-0.0467497);
19:20:55.047, 	1, 	2, 	20.2857, 	16.3036, 	1, 	12, 	2.736, 	(0.107544,-0.145555);
19:20:55.067, 	1, 	2, 	22.1986, 	17.6116, 	1, 	12, 	2.736, 	(0.108878,0.134115);
19:20:55.087, 	1, 	2, 	25.1689, 	16.7086, 	1, 	12, 	3.04, 	(0.130683,-0.154908);
19:20:55.108, 	1, 	2, 	25.6172, 	18.6765, 	1, 	12, 	3.04, 	(-0.13667,-0.160167);
19:20:55.128, 	1, 	2, 	26.3027, 	17.1135, 	1, 	12, 	3.04, 	(-0.190899,0.0642995);
19:20:55.148, 	0, 	2, 	23.985, 	20.2884, 	1, 	12, 	3.04, 	(-0.199616,-0.173323);
19:20:55.168, 	1, 	2, 	24.5767, 	24.5568, 	1, 	16, 	2.736, 	(-0.227751,-0.25569);
19:20:55.181, 	1, 	1, 	27.2244, 	23.8214, 	0, 	16, 	2.432, 	(-0.846451,1.05444);(-1.247,-0.943408);(-0.261587,-1.09222);(0.551699,-1.00092);
19:20:55.208, 	1, 	2, 	27.227, 	24.1883, 	1, 	16, 	2.432, 	(-0.480009,-0.21452);
19:20:55.228, 	1, 	2, 	25.3142, 	21.5155, 	1, 	12, 	2.432, 	(0.0234185,0.284349);
19:20:55.249, 	1, 	2, 	26.6681, 	23.1041, 	1, 	8, 	2.432, 	(-0.0177428,0.146518);
19:20:55.269, 	1, 	2, 	27.5244, 	21.8145, 	1, 	8, 	2.432, 	(0.061022,0.221795);
19:20:55.289, 	1, 	2, 	27.3835, 	25.5274, 	1, 	8, 	2.432, 	(0.526959,0.243786);
19:20:55.310, 	1, 	2, 	26.9893, 	25.195, 	1, 	8, 	2.432, 	(0.35404,0.162263);
19:20:55.329, 	1, 	2, 	20.158, 	23.065, 	1, 	8, 	2.432, 	(0.56185,0.356654);
19:20:55.349, 	1, 	2, 	27.0325, 	17.9217, 	1, 	4, 	2.736, 	(0.0741697,-0.13755);
