2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	24.4603, 	-60, 	26.1534, 	1, 	1.52
2, 	22.508, 	21, 	0, 	0, 	1.52
2, 	22.508, 	21, 	18.3586, 	1, 	2.736
2, 	32.6198, 	21, 	17.9325, 	1, 	2.736
2, 	32.6198, 	15, 	18.5153, 	1, 	2.736
2, 	31.5631, 	15, 	16.151, 	1, 	2.736
2, 	31.5631, 	23, 	19.9651, 	1, 	2.736
2, 	21.5423, 	23, 	11.5118, 	0, 	2.736
2, 	21.5423, 	22, 	19.2992, 	1, 	2.432
1, 	21.5423, 	22, 	14.7129, 	1, 	2.128
2, 	22.508, 	22, 	19.1239, 	1, 	2.128
2, 	22.508, 	21, 	19.292, 	1, 	2.432
2, 	20.5829, 	21, 	19.2739, 	1, 	2.432
2, 	20.5829, 	42, 	19.1445, 	1, 	2.432
2, 	20.5829, 	42, 	16.9727, 	1, 	2.432
2, 	20.5829, 	42, 	17.4193, 	1, 	2.432
2, 	19.6296, 	42, 	16.9877, 	1, 	2.432
2, 	19.6296, 	39, 	18.7567, 	1, 	2.736
2, 	18.6818, 	39, 	17.3955, 	1, 	2.736
2, 	18.6818, 	33, 	21.6409, 	1, 	3.04
2, 	18.6818, 	33, 	19.5304, 	1, 	3.04
2, 	18.6818, 	33, 	20.7096, 	1, 	3.04
2, 	19.6296, 	33, 	21.1115, 	1, 	3.04
2, 	19.6296, 	39, 	19.7913, 	1, 	3.04
2, 	19.6296, 	39, 	19.8921, 	1, 	3.04
2, 	19.6296, 	39, 	18.876, 	1, 	3.04
2, 	18.6818, 	39, 	20.1, 	1, 	3.04
2, 	18.6818, 	33, 	20.3532, 	1, 	3.04
2, 	16.8018, 	33, 	21.3546, 	1, 	3.04
2, 	16.8018, 	21, 	22.5472, 	1, 	3.04
2, 	14.9403, 	21, 	22.469, 	1, 	3.04
2, 	14.9403, 	17, 	18.318, 	1, 	3.04
2, 	12.1773, 	17, 	23.263, 	1, 	3.04
2, 	12.1773, 	44, 	22.8662, 	1, 	3.04
2, 	13.0948, 	44, 	19.9072, 	1, 	3.04
2, 	13.0948, 	29, 	20.0708, 	1, 	3.04
2, 	12.1773, 	29, 	22.5808, 	1, 	3.04
2, 	12.1773, 	44, 	19.5514, 	0, 	3.04
2, 	14.0157, 	44, 	20.3406, 	0, 	2.736
1, 	14.0157, 	-5, 	20.8039, 	1, 	2.128
1, 	14.0157, 	-5, 	22.4709, 	1, 	1.824
2, 	12.1773, 	-5, 	17.6164, 	1, 	1.824
2, 	12.1773, 	44, 	18.4748, 	1, 	1.824
2, 	11.263, 	44, 	21.5154, 	0, 	1.824
2, 	11.263, 	-57, 	19.448, 	1, 	1.52
1, 	11.263, 	-57, 	19.0489, 	1, 	1.216
2, 	9.44278, 	-57, 	16.2113, 	1, 	1.216
2, 	9.44278, 	-18, 	15.8266, 	1, 	1.52
2, 	10.3516, 	-18, 	16.6734, 	1, 	1.824
2, 	10.3516, 	26, 	22.4842, 	1, 	2.128
2, 	11.263, 	26, 	24.5064, 	1, 	2.432
2, 	11.263, 	-57, 	23.4665, 	1, 	2.432
2, 	9.44278, 	-18, 	17.4219, 	1, 	2.432
2, 	9.44278, 	-18, 	16.3036, 	1, 	2.736
2, 	11.263, 	-18, 	17.6116, 	1, 	2.736
2, 	11.263, 	-57, 	16.7086, 	1, 	3.04
2, 	12.1773, 	-57, 	18.6765, 	1, 	3.04
2, 	12.1773, 	44, 	17.1135, 	1, 	3.04
2, 	30.5182, 	44, 	20.2884, 	0, 	3.04
2, 	30.5182, 	7, 	24.5568, 	1, 	2.736
1, 	30.5182, 	7, 	23.8214, 	1, 	2.432
2, 	14.0157, 	7, 	24.1883, 	1, 	2.432
2, 	14.0157, 	-5, 	21.5155, 	1, 	2.432
2, 	29.4845, 	-5, 	23.1041, 	1, 	2.432
2, 	29.4845, 	25, 	21.8145, 	1, 	2.432
2, 	27.4476, 	29, 	25.5274, 	1, 	2.432
2, 	27.4476, 	29, 	25.195, 	1, 	2.432
2, 	26.4433, 	29, 	23.065, 	1, 	2.432
2, 	26.4433, 	52, 	17.9217, 	1, 	2.736
2, 	23.4805, 	52, 	12.259, 	0, 	2.736
2, 	23.4805, 	21, 	16.3872, 	0, 	2.432
1, 	23.4805, 	21, 	24.7682, 	1, 	2.128
2, 	25.4477, 	21, 	25.5377, 	1, 	2.128
2, 	25.4477, 	32, 	25.5138, 	1, 	2.128
2, 	26.4433, 	6, 	23.4064, 	1, 	2.128
2, 	26.4433, 	6, 	23.493, 	1, 	2.128
2, 	26.4433, 	6, 	24.6016, 	1, 	2.128
2, 	26.4433, 	6, 	25.7525, 	1, 	2.128
2, 	1.34299, 	6, 	23.6924, 	1, 	2.128
2, 	1.34299, 	-28, 	24.6757, 	1, 	2.432
