(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:24:19.467, 	0, 	1, 	12.7487, 	9.67313, 	1, 	-1.249e-14, 	3.04, 	(0.0807716,-0.278679);(0.258077,0.354156);(-0.316164,0.26158);(-0.321965,-0.334976);
19:24:36.774, 	1, 	2, 	14.6665, 	9.67313, 	1, 	4, 	2.736, 	(0.0807716,-0.278679);(0.258077,0.354156);(-0.316164,0.26158);(-0.321965,-0.334976);
19:24:36.789, 	1, 	2, 	14.7537, 	18.5756, 	1, 	4, 	2.736, 	(0.201371,-0.12294);
19:24:36.809, 	1, 	2, 	15.355, 	16.9216, 	1, 	4, 	2.736, 	(0.0849092,0.152441);
19:24:36.829, 	1, 	2, 	16.1797, 	17.6599, 	1, 	4, 	2.736, 	(0.117556,-0.00694373);
19:24:36.850, 	1, 	2, 	16.155, 	18.6686, 	1, 	4, 	2.736, 	(0.108002,-0.0681638);
19:24:36.870, 	1, 	2, 	15.1315, 	20.2184, 	1, 	4, 	2.736, 	(0.068042,0.246107);
19:24:36.890, 	1, 	2, 	15.3352, 	18.504, 	1, 	4, 	2.736, 	(0.147298,0.0809071);
19:24:36.910, 	1, 	2, 	16.0104, 	19.7907, 	1, 	4, 	2.736, 	(0.149887,-0.0256173);
19:24:36.930, 	1, 	2, 	15.6518, 	19.9645, 	1, 	4, 	2.736, 	(0.17934,-0.143406);
19:24:36.951, 	1, 	2, 	15.5804, 	20.9528, 	1, 	4, 	3.04, 	(0.19757,-0.149913);
19:24:36.971, 	1, 	2, 	17.1901, 	20.1944, 	1, 	4, 	3.04, 	(0.183524,0.0418592);
19:24:36.990, 	1, 	2, 	17.1056, 	19.3078, 	1, 	4, 	3.04, 	(-0.0980937,0.22384);
19:24:37.010, 	1, 	2, 	16.2683, 	19.7282, 	1, 	4, 	3.04, 	(0.0971288,0.218169);
19:24:37.031, 	1, 	2, 	15.8451, 	19.9642, 	1, 	4, 	3.04, 	(0.0370693,0.270975);
19:24:37.051, 	1, 	2, 	16.1624, 	19.2621, 	1, 	4, 	3.04, 	(-0.0087809,-0.26206);
19:24:37.071, 	1, 	2, 	14.8482, 	18.6893, 	1, 	4, 	3.04, 	(-0.196073,-0.194859);
19:24:37.092, 	1, 	2, 	17.6894, 	15.0437, 	1, 	4, 	3.04, 	(0.0377941,0.0971187);
19:24:37.111, 	1, 	2, 	17.8981, 	20.335, 	1, 	4, 	3.04, 	(-0.134288,-0.162782);
19:24:37.132, 	1, 	2, 	18.3403, 	20.3802, 	1, 	4, 	3.04, 	(0.13774,0.117687);
19:24:37.152, 	1, 	2, 	17.8149, 	21.4958, 	1, 	4, 	3.04, 	(0.180792,-0.202366);
19:24:37.172, 	1, 	2, 	18.7262, 	21.6287, 	1, 	4, 	3.04, 	(0.268404,-0.0620472);
19:24:37.192, 	1, 	2, 	18.2927, 	20.8368, 	1, 	4, 	3.04, 	(-0.110015,-0.290889);
19:24:37.212, 	1, 	2, 	18.3683, 	20.8142, 	1, 	4, 	3.04, 	(0.110427,-0.265517);
19:24:37.252, 	1, 	2, 	19.6093, 	21.8207, 	1, 	4, 	3.04, 	(0.219114,-0.171265);
19:24:37.273, 	1, 	2, 	20.1619, 	22.2358, 	1, 	-1.249e-14, 	3.04, 	(0.128205,0.181746);
19:24:37.293, 	1, 	2, 	20.4078, 	21.7395, 	1, 	-1.249e-14, 	3.04, 	(-0.24063,-0.210354);
19:24:37.314, 	1, 	2, 	20.058, 	21.7804, 	1, 	-1.249e-14, 	3.04, 	(-0.0184825,0.288938);
19:24:37.353, 	1, 	2, 	21.2128, 	23.1803, 	1, 	-1.249e-14, 	3.04, 	(-0.00976716,0.38343);
19:24:37.373, 	1, 	2, 	16.7313, 	20.8418, 	1, 	-1.249e-14, 	3.04, 	(-0.393499,-0.0401988);
19:24:37.393, 	1, 	2, 	20.7012, 	20.1963, 	1, 	-1.249e-14, 	3.04, 	(0.207442,-0.122664);
19:24:37.414, 	1, 	2, 	19.4077, 	22.7762, 	1, 	-1.249e-14, 	3.04, 	(0.189275,0.351108);
19:24:37.434, 	1, 	2, 	20.2255, 	22.3971, 	1, 	-1.249e-14, 	3.04, 	(0.0764516,-0.196855);
19:24:37.455, 	1, 	2, 	18.3345, 	22.3701, 	1, 	-1.249e-14, 	3.04, 	(0.300361,-0.26726);
19:24:37.475, 	1, 	2, 	20.1166, 	22.0874, 	1, 	-1.249e-14, 	3.04, 	(-0.301014,-0.251489);
19:24:37.494, 	1, 	2, 	21.4942, 	23.3889, 	1, 	-1.249e-14, 	3.04, 	(-0.0956572,-0.41578);
19:24:37.518, 	1, 	2, 	20.5839, 	20.0204, 	1, 	-1.249e-14, 	3.04, 	(-0.200454,0.132068);
19:24:37.535, 	1, 	2, 	19.8934, 	18.5596, 	1, 	-1.249e-14, 	3.04, 	(-0.253894,-0.032283);
19:24:37.555, 	0, 	2, 	22.737, 	18.1063, 	1, 	-1.249e-14, 	3.04, 	(0.134508,-0.099225);
19:24:37.575, 	0, 	2, 	22.2581, 	21.1072, 	0, 	4, 	2.736, 	(0.122183,0.123049);
19:24:37.590, 	1, 	1, 	24.5132, 	20.9542, 	0, 	8, 	2.128, 	(-0.707119,-0.427169);(0.841317,-0.726537);(1.02448,0.450074);(0.276427,1.1284);
19:24:37.611, 	1, 	1, 	22.1943, 	19.7629, 	0, 	8, 	1.824, 	(-0.703238,-0.395587);(0.786148,-0.756316);(0.924974,0.299379);(0.310347,0.995779);
19:24:37.635, 	1, 	2, 	21.2365, 	23.5738, 	1, 	8, 	1.824, 	(0.467088,-0.0136055);
19:24:37.655, 	1, 	2, 	21.35, 	21.2324, 	1, 	8, 	1.824, 	(-0.0209893,0.168115);
19:24:37.676, 	1, 	2, 	22.4051, 	22.4736, 	1, 	8, 	1.824, 	(-0.228812,0.331487);
19:24:37.697, 	1, 	2, 	21.8779, 	22.8221, 	1, 	8, 	1.824, 	(-0.475632,-0.104909);
19:24:37.716, 	1, 	2, 	23.8415, 	24.203, 	1, 	8, 	1.824, 	(-0.184199,0.248706);
19:24:37.736, 	1, 	2, 	18.6927, 	22.3601, 	1, 	8, 	1.824, 	(0.254528,-0.439933);
19:24:37.756, 	1, 	2, 	21.0346, 	23.4207, 	1, 	8, 	2.128, 	(0.228867,-0.507344);
19:24:37.776, 	1, 	2, 	24.3934, 	24.5852, 	1, 	8, 	2.432, 	(-0.0415758,0.412317);
19:24:37.797, 	1, 	2, 	25.4301, 	23.6269, 	1, 	8, 	2.736, 	(-0.245583,-0.511994);
19:24:37.817, 	1, 	2, 	25.8438, 	24.4649, 	1, 	8, 	3.04, 	(0.185116,-0.517425);
19:24:37.837, 	1, 	2, 	21.7867, 	24.073, 	1, 	8, 	3.04, 	(0.182161,0.593297);
19:24:37.857, 	1, 	2, 	23.0388, 	24.343, 	1, 	8, 	3.04, 	(-0.580922,-0.226796);
19:24:37.878, 	1, 	2, 	23.9276, 	24.6479, 	1, 	8, 	3.04, 	(0.147567,0.277463);
19:24:37.897, 	1, 	2, 	23.2861, 	21.5998, 	1, 	8, 	3.04, 	(-0.187041,-0.15361);
19:24:37.918, 	1, 	2, 	21.5546, 	19.6047, 	1, 	8, 	3.04, 	(0.0523913,0.289101);
19:24:37.938, 	1, 	2, 	23.7084, 	21.5708, 	1, 	8, 	3.04, 	(0.00690271,-0.250106);
19:24:37.958, 	0, 	2, 	18.7326, 	20.3097, 	1, 	8, 	3.04, 	(0.239809,-0.157105);
19:24:37.978, 	1, 	2, 	24.6073, 	17.0805, 	1, 	12, 	2.736, 	(0.122817,0.141076);
19:24:37.993, 	1, 	1, 	25.0595, 	19.5978, 	0, 	12, 	2.432, 	(0.516905,-0.686469);(0.662102,0.547923);(0.064072,0.371368);(-0.29384,0.282489);
19:24:38.018, 	1, 	2, 	22.5412, 	16.8096, 	1, 	12, 	2.432, 	(-0.104451,0.108228);
19:24:38.038, 	1, 	2, 	25.4837, 	17.8366, 	1, 	12, 	2.432, 	(0.119431,0.155493);
19:24:38.059, 	1, 	2, 	22.2208, 	17.6078, 	1, 	8, 	2.432, 	(0.105937,0.171639);
19:24:38.078, 	1, 	2, 	25.5807, 	24.6685, 	1, 	4, 	2.432, 	(0.411495,0.466753);
19:24:38.099, 	1, 	2, 	25.4008, 	24.6625, 	1, 	4, 	2.432, 	(-0.311419,-0.111648);
19:24:38.119, 	1, 	2, 	26.9306, 	25.717, 	1, 	4, 	2.432, 	(0.541696,-0.173006);
19:24:38.140, 	1, 	2, 	23.3284, 	18.0941, 	1, 	4, 	2.432, 	(-0.154172,0.174319);
19:24:38.159, 	1, 	2, 	26.2151, 	19.5429, 	1, 	4, 	2.736, 	(-0.149617,0.087409);
19:24:38.179, 	1, 	2, 	26.8864, 	19.6464, 	1, 	4, 	2.736, 	(-0.145881,-0.0262636);
19:24:38.200, 	1, 	2, 	26.7599, 	19.9816, 	1, 	4, 	3.04, 	(0.0200517,0.112505);
19:24:38.220, 	1, 	2, 	26.8395, 	18.3651, 	1, 	4, 	3.04, 	(0.0202812,-0.218341);
19:24:38.240, 	1, 	2, 	28.0329, 	18.3651, 	1, 	4, 	3.04, 	(0.0202812,-0.218341);
