(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);19:28:09.982, 	0, 	1, 	10.2951, 	8.56123, 	1, 	24, 	3.04, 	(-0.19784,-0.0136877);(0.250429,-0.195651);(0.203663,0.172745);(-0.181688,0.244121);
19:28:24.301, 	0, 	2, 	12.4042, 	12.4847, 	0, 	24, 	2.736, 	(0.0454081,-0.0237322);
19:28:24.321, 	0, 	2, 	13.6966, 	13.7039, 	0, 	24, 	2.432, 	(-0.0404168,0.0148559);
19:28:24.333, 	1, 	1, 	13.1527, 	10.5077, 	0, 	28, 	1.824, 	(-0.072317,0.265402);(-0.251453,-0.270338);(0.154527,-0.244118);(0.315192,0.0919019);
19:28:24.353, 	0, 	1, 	13.5847, 	12.3719, 	0, 	28, 	1.824, 	(0.262367,0.105229);(-0.253833,0.227338);(-0.156857,-0.104459);(0.0584536,-0.207987);
19:28:24.373, 	0, 	1, 	12.5254, 	11.7395, 	0, 	28, 	1.52, 	(-0.257279,0.0154322);(0.133994,-0.274474);(0.126884,0.0094557);(0.00354489,0.157618);
19:28:24.393, 	1, 	1, 	14.1812, 	11.5758, 	0, 	28, 	0.912, 	(0.147203,0.169111);(-0.409724,0.00429203);(-0.0944042,-0.444386);(0.41925,-0.246298);
19:28:24.413, 	1, 	1, 	15.5496, 	19.8781, 	0, 	28, 	0.608, 	(-0.0927913,0.270044);(-0.261866,-0.328334);(0.191287,-0.213664);(0.304527,0.132415);
19:28:24.441, 	0, 	2, 	13.3841, 	16.0498, 	0, 	28, 	0.608, 	(-0.14514,-0.0441048);
19:28:24.461, 	1, 	2, 	14.3448, 	16.6458, 	1, 	28, 	0.304, 	(-0.101482,-0.0403713);
19:28:24.473, 	1, 	1, 	13.7349, 	13.5872, 	0, 	24, 	0.304, 	(-0.150949,0.185868);(-0.167199,-0.237731);(0.0285996,-0.0661776);(0.0857951,-0.00111522);
19:28:24.502, 	1, 	2, 	14.4565, 	16.5589, 	1, 	24, 	0.608, 	(-0.134305,0.010106);
19:28:24.522, 	1, 	2, 	14.5016, 	16.4428, 	1, 	24, 	0.912, 	(-0.00680949,-0.189132);
19:28:24.542, 	1, 	2, 	13.2952, 	18.3454, 	1, 	24, 	1.216, 	(-0.0233179,-0.188968);
19:28:24.562, 	1, 	2, 	12.464, 	17.7315, 	1, 	24, 	1.52, 	(-0.179074,0.0768544);
19:28:24.582, 	1, 	2, 	13.0893, 	17.0254, 	1, 	24, 	1.824, 	(-0.0812838,0.125488);
19:28:24.602, 	1, 	2, 	13.0934, 	18.8213, 	1, 	24, 	2.128, 	(-0.155806,-0.12718);
19:28:24.623, 	1, 	2, 	15.6004, 	18.2854, 	1, 	24, 	2.432, 	(-0.189399,-0.0422486);
19:28:24.649, 	1, 	2, 	14.2809, 	18.7583, 	1, 	24, 	2.736, 	(0.109318,0.19685);
19:28:24.663, 	1, 	2, 	15.1541, 	19.0891, 	1, 	24, 	2.736, 	(0.224099,0.0228886);
19:28:24.683, 	1, 	2, 	15.6, 	17.8901, 	1, 	24, 	3.04, 	(0.145176,-0.161623);
19:28:24.704, 	1, 	2, 	14.6688, 	18.6316, 	1, 	24, 	3.04, 	(-0.236922,-0.0491139);
19:28:24.723, 	1, 	2, 	16.0278, 	18.6504, 	1, 	24, 	3.04, 	(-0.162246,0.0184009);
19:28:24.744, 	1, 	2, 	16.0926, 	18.5872, 	1, 	24, 	3.04, 	(0.201056,-0.0922504);
19:28:24.764, 	1, 	2, 	14.733, 	17.6094, 	1, 	24, 	3.04, 	(0.191704,0.0168928);
19:28:24.784, 	1, 	2, 	16.7159, 	18.1932, 	1, 	20, 	3.04, 	(0.160455,0.103275);
19:28:24.804, 	1, 	2, 	17.0301, 	18.8106, 	1, 	16, 	3.04, 	(-0.151472,-0.143396);
19:28:24.825, 	1, 	2, 	17.8197, 	18.5843, 	1, 	12, 	3.04, 	(0.118614,-0.071886);
19:28:24.846, 	1, 	2, 	17.1354, 	19.6459, 	1, 	12, 	3.04, 	(0.0242828,-0.116033);
19:28:24.865, 	1, 	2, 	16.7021, 	19.0562, 	1, 	8, 	3.04, 	(0.180101,0.212151);
19:28:24.885, 	1, 	2, 	17.2846, 	20.941, 	1, 	4, 	3.04, 	(0.265428,0.0790727);
19:28:24.905, 	1, 	2, 	17.3587, 	20.8888, 	1, 	4, 	3.04, 	(0.144351,0.230726);
19:28:24.925, 	1, 	2, 	16.5405, 	19.7255, 	1, 	4, 	3.04, 	(0.273604,-0.132615);
19:28:24.947, 	1, 	2, 	17.995, 	22.3767, 	1, 	-1.249e-14, 	3.04, 	(-0.183722,0.245529);
19:28:24.965, 	1, 	2, 	18.1846, 	20.3913, 	1, 	-1.249e-14, 	3.04, 	(-0.0836959,-0.29777);
