2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	31.471, 	29, 	0.0, 	0, 	-7.10543e-17
2, 	31.471, 	26, 	12.45686, 	1, 	1.52
2, 	31.471, 	26, 	12.100370000000002, 	1, 	2.432
2, 	31.471, 	28, 	12.314110000000001, 	1, 	2.736
2, 	31.471, 	27, 	12.348020000000002, 	1, 	3.04
2, 	31.471, 	27, 	12.16444, 	1, 	2.432
2, 	31.471, 	29, 	12.178059999999999, 	1, 	2.128
2, 	31.471, 	34, 	9.827160000000001, 	1, 	0.912
2, 	31.471, 	25, 	12.42524, 	1, 	2.432
2, 	31.471, 	35, 	11.078199999999999, 	0, 	0.304
2, 	27.1, 	-19, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	-11, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	-1, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	9, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	19, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	31, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	41, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	51, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	27, 	0.0, 	0, 	-7.10543e-17
2, 	27.1, 	-52, 	0.0, 	0, 	-7.10543e-17
2, 	22.667, 	-3, 	14.181389999999999, 	1, 	3.04
2, 	22.667, 	4, 	12.970650000000001, 	1, 	2.736
2, 	22.667, 	-4, 	14.116769999999999, 	1, 	3.04
2, 	22.667, 	0, 	13.700539999999998, 	1, 	2.736
2, 	22.667, 	-6, 	13.87586, 	1, 	3.04
2, 	22.667, 	-4, 	13.38061, 	1, 	2.736
2, 	22.667, 	8, 	14.11062, 	1, 	2.432
2, 	22.667, 	-4, 	14.00984, 	1, 	3.04
2, 	22.667, 	0, 	12.2175, 	1, 	1.52
2, 	22.667, 	2, 	12.42132, 	1, 	0.608
2, 	18.189, 	-19, 	0.0, 	0, 	0.0
2, 	18.189, 	-9, 	0.0, 	0, 	0.0
2, 	18.189, 	1, 	0.0, 	0, 	0.0
2, 	18.189, 	11, 	0.0, 	0, 	0.0
2, 	18.189, 	21, 	0.0, 	0, 	0.0
2, 	18.189, 	31, 	0.0, 	0, 	0.0
2, 	18.189, 	41, 	0.0, 	0, 	0.0
2, 	18.189, 	51, 	0.0, 	0, 	0.0
2, 	18.189, 	-60, 	0.0, 	0, 	0.0
2, 	18.189, 	-50, 	0.0, 	0, 	0.0
2, 	13.675, 	-25, 	0.0, 	0, 	0.0
2, 	13.675, 	-15, 	0.0, 	0, 	0.0
2, 	13.675, 	-5, 	0.0, 	0, 	0.0
2, 	13.675, 	5, 	0.0, 	0, 	0.0
2, 	13.675, 	16, 	0.0, 	0, 	0.0
2, 	13.675, 	26, 	0.0, 	0, 	0.0
2, 	13.675, 	41, 	0.0, 	0, 	0.0
2, 	13.675, 	51, 	0.0, 	0, 	0.0
2, 	13.675, 	34, 	0.0, 	0, 	0.0
2, 	13.675, 	-56, 	0.0, 	0, 	0.0
2, 	9.134, 	-19, 	0.0, 	0, 	0.0
2, 	9.134, 	-9, 	0.0, 	0, 	0.0
2, 	9.134, 	1, 	0.0, 	0, 	0.0
2, 	9.134, 	11, 	0.0, 	0, 	0.0
2, 	9.134, 	21, 	0.0, 	0, 	0.0
2, 	9.134, 	31, 	0.0, 	0, 	0.0
2, 	9.134, 	41, 	0.0, 	0, 	0.0
2, 	9.134, 	51, 	0.0, 	0, 	0.0
2, 	9.134, 	-60, 	0.0, 	0, 	0.0
2, 	9.134, 	-50, 	0.0, 	0, 	0.0
2, 	4.573, 	-19, 	0.0, 	0, 	0.0
2, 	4.573, 	-9, 	0.0, 	0, 	0.0
2, 	4.573, 	1, 	0.0, 	0, 	0.0
2, 	4.573, 	11, 	0.0, 	0, 	0.0
2, 	4.573, 	21, 	0.0, 	0, 	0.0
2, 	4.573, 	31, 	0.0, 	0, 	0.0
2, 	4.573, 	41, 	0.0, 	0, 	0.0
2, 	4.573, 	51, 	0.0, 	0, 	0.0
2, 	4.573, 	-60, 	0.0, 	0, 	0.0
2, 	4.573, 	-50, 	0.0, 	0, 	0.0
2, 	0, 	-57, 	16.401760000000003, 	1, 	3.04
2, 	0, 	-57, 	16.13833, 	1, 	2.128
2, 	0, 	-60, 	16.72135, 	1, 	2.432
2, 	0, 	-59, 	16.164679999999997, 	1, 	2.736
2, 	0, 	-60, 	15.973220000000001, 	1, 	3.04
2, 	0, 	-60, 	16.32462, 	1, 	3.04
2, 	0, 	-55, 	16.482779999999998, 	1, 	2.128
2, 	0, 	-58, 	16.340220000000002, 	1, 	2.736
2, 	0, 	-57, 	16.199460000000002, 	1, 	2.736
2, 	0, 	-60, 	16.429949999999998, 	1, 	3.04
2, 	-4.573, 	-59, 	15.784849999999997, 	1, 	2.736
2, 	-4.573, 	-60, 	16.29327, 	1, 	1.52
2, 	-4.573, 	-60, 	16.459519999999998, 	1, 	2.432
2, 	-4.573, 	-60, 	16.26305, 	1, 	3.04
2, 	-4.573, 	-60, 	16.348300000000002, 	1, 	2.432
2, 	-4.573, 	-60, 	15.84847, 	1, 	2.432
2, 	-4.573, 	-59, 	16.0704, 	1, 	1.824
2, 	-4.573, 	-59, 	15.9532, 	1, 	1.52
2, 	-4.573, 	-60, 	15.821190000000001, 	1, 	2.432
2, 	-4.573, 	-60, 	15.928629999999998, 	1, 	2.432
2, 	-9.134, 	-11, 	13.34314, 	1, 	0.912
2, 	-9.134, 	-15, 	12.045539999999999, 	1, 	1.52
2, 	-9.134, 	-46, 	12.00585, 	1, 	1.216
2, 	-9.134, 	-48, 	13.44904, 	1, 	1.52
2, 	-9.134, 	-46, 	13.15889, 	1, 	0.608
2, 	-9.134, 	-50, 	11.882670000000001, 	1, 	1.52
2, 	-9.134, 	-8, 	11.0121, 	1, 	1.216
2, 	-9.134, 	-59, 	12.74257, 	1, 	1.824
2, 	-9.134, 	-56, 	12.668160000000002, 	1, 	1.52
2, 	-9.134, 	-17, 	11.54827, 	0, 	0.304
2, 	-13.675, 	-58, 	17.7827, 	1, 	2.736
2, 	-13.675, 	-49, 	19.068489999999997, 	1, 	2.432
2, 	-13.675, 	-60, 	18.88978, 	1, 	2.736
2, 	-13.675, 	-49, 	18.36401, 	1, 	3.04
2, 	-13.675, 	-50, 	19.03262, 	1, 	2.432
2, 	-13.675, 	-48, 	19.15279, 	1, 	2.128
2, 	-13.675, 	-48, 	19.554889999999997, 	1, 	2.432
