2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	31.471, 	31.471, 	17.55463, 	1, 	3.04
2, 	31.471, 	31.471, 	17.7832, 	1, 	3.04
2, 	31.471, 	31.471, 	17.542170000000002, 	1, 	2.736
2, 	31.471, 	31.471, 	17.42914, 	1, 	2.736
2, 	31.471, 	31.471, 	17.50807, 	1, 	3.04
2, 	31.471, 	31.471, 	17.75738, 	1, 	3.04
2, 	31.471, 	31.471, 	17.76381, 	1, 	3.04
2, 	31.471, 	31.471, 	17.5245, 	1, 	3.04
2, 	31.471, 	31.471, 	17.805709999999998, 	1, 	3.04
2, 	31.471, 	31.471, 	17.53866, 	1, 	3.04
2, 	27.1, 	27.1, 	13.51346, 	1, 	3.04
2, 	27.1, 	27.1, 	15.14865, 	1, 	3.04
2, 	27.1, 	27.1, 	14.90225, 	1, 	3.04
2, 	27.1, 	27.1, 	14.835299999999998, 	1, 	3.04
2, 	27.1, 	27.1, 	15.222840000000001, 	1, 	3.04
2, 	27.1, 	27.1, 	14.91244, 	1, 	3.04
2, 	27.1, 	27.1, 	14.96824, 	1, 	3.04
2, 	27.1, 	27.1, 	14.802280000000001, 	1, 	3.04
2, 	27.1, 	27.1, 	14.814559999999997, 	1, 	3.04
2, 	27.1, 	27.1, 	14.855170000000001, 	1, 	3.04
2, 	22.667, 	22.667, 	0.0, 	0, 	-7.10543e-17
2, 	22.667, 	22.667, 	12.742119999999998, 	1, 	0.912
2, 	22.667, 	22.667, 	12.79316, 	1, 	0.912
2, 	22.667, 	22.667, 	12.649269999999998, 	1, 	0.608
2, 	22.667, 	22.667, 	12.50343, 	1, 	0.912
2, 	22.667, 	22.667, 	12.60648, 	1, 	1.216
2, 	22.667, 	22.667, 	12.526409999999998, 	1, 	1.824
2, 	22.667, 	22.667, 	12.68719, 	1, 	1.52
2, 	22.667, 	22.667, 	12.31179, 	1, 	2.736
2, 	22.667, 	22.667, 	12.5081, 	1, 	1.52
2, 	18.189, 	18.189, 	0.0, 	0, 	-7.10543e-17
2, 	18.189, 	18.189, 	0.0, 	0, 	-7.10543e-17
2, 	18.189, 	18.189, 	0.0, 	0, 	-7.10543e-17
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	18.189, 	18.189, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	13.675, 	13.675, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	9.134, 	9.134, 	0.0, 	0, 	0.0
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
2, 	4.573, 	4.573, 	0.0, 	0, 	-7.10543e-17
