2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	31.471, 	31.471, 	11.5134, 	1, 	0.304
2, 	31.471, 	31.471, 	17.2996, 	1, 	0.608
2, 	31.471, 	31.471, 	11.9271, 	1, 	0.912
2, 	31.471, 	31.471, 	10.7667, 	1, 	1.216
2, 	31.471, 	31.471, 	11.8, 	1, 	1.52
2, 	31.471, 	31.471, 	11.8003, 	1, 	1.824
2, 	31.471, 	31.471, 	12.5263, 	1, 	1.52
2, 	31.471, 	31.471, 	12.0112, 	1, 	1.824
2, 	31.471, 	31.471, 	16.86, 	1, 	1.824
2, 	31.471, 	31.471, 	13.3799, 	1, 	1.824
2, 	31.471, 	31.471, 	12.9318, 	1, 	0.304
2, 	31.471, 	31.471, 	10.6056, 	1, 	0.608
2, 	31.471, 	31.471, 	12.723, 	1, 	0.912
2, 	31.471, 	31.471, 	12.549, 	1, 	1.216
2, 	31.471, 	31.471, 	12.5896, 	1, 	0.912
2, 	31.471, 	31.471, 	12.2441, 	1, 	0.608
2, 	31.471, 	31.471, 	12.9517, 	1, 	0.912
2, 	31.471, 	31.471, 	12.3989, 	1, 	1.216
2, 	31.471, 	31.471, 	11.1166, 	1, 	1.52
2, 	31.471, 	31.471, 	11.7885, 	1, 	1.52
2, 	31.471, 	31.471, 	12.7213, 	1, 	0.608
2, 	31.471, 	31.471, 	11.4416, 	1, 	0.912
2, 	31.471, 	31.471, 	13.2463, 	1, 	1.216
2, 	31.471, 	31.471, 	12.0063, 	1, 	1.216
2, 	31.471, 	31.471, 	12.5017, 	1, 	1.52
2, 	31.471, 	31.471, 	12.2416, 	1, 	1.824
2, 	31.471, 	31.471, 	11.1832, 	1, 	1.824
2, 	31.471, 	31.471, 	13.3014, 	1, 	1.824
2, 	31.471, 	31.471, 	12.9876, 	1, 	1.52
2, 	31.471, 	31.471, 	11.4624, 	1, 	1.52
2, 	31.471, 	31.471, 	11.3021, 	1, 	2.128
2, 	31.471, 	31.471, 	11.0165, 	1, 	2.128
2, 	31.471, 	31.471, 	13.1884, 	1, 	2.432
2, 	31.471, 	31.471, 	13.4246, 	1, 	2.432
2, 	31.471, 	31.471, 	11.6277, 	1, 	1.824
2, 	31.471, 	31.471, 	12.4655, 	1, 	2.128
2, 	31.471, 	31.471, 	13.0049, 	1, 	2.128
2, 	31.471, 	31.471, 	11.6483, 	1, 	2.128
2, 	31.471, 	31.471, 	11.6729, 	1, 	2.128
2, 	31.471, 	31.471, 	11.71, 	1, 	2.128
2, 	31.471, 	31.471, 	11.0623, 	1, 	0.912
2, 	31.471, 	31.471, 	11.6956, 	1, 	0.912
2, 	31.471, 	31.471, 	13.9047, 	1, 	1.216
2, 	31.471, 	31.471, 	11.7176, 	1, 	1.52
2, 	31.471, 	31.471, 	12.3852, 	1, 	1.824
2, 	31.471, 	31.471, 	11.7577, 	1, 	1.824
2, 	31.471, 	31.471, 	12.772, 	1, 	2.128
2, 	31.471, 	31.471, 	11.0668, 	1, 	2.128
2, 	31.471, 	31.471, 	11.8769, 	1, 	1.52
2, 	31.471, 	31.471, 	13.5328, 	1, 	1.216
2, 	31.471, 	31.471, 	11.6005, 	1, 	0.912
