2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	31.471, 	34, 	18.6479, 	1, 	2.736
2, 	31.471, 	34, 	17.9675, 	1, 	2.736
2, 	31.471, 	34, 	19.2218, 	1, 	2.736
2, 	31.471, 	34, 	18.5067, 	1, 	2.736
2, 	31.471, 	34, 	17.8295, 	1, 	2.736
2, 	31.471, 	34, 	20.1404, 	1, 	2.736
2, 	31.471, 	34, 	18.5846, 	1, 	2.736
2, 	31.471, 	34, 	18.7317, 	1, 	2.736
2, 	31.471, 	34, 	18.731, 	1, 	3.04
2, 	31.471, 	34, 	16.1142, 	1, 	3.04
2, 	31.471, 	38, 	19.2826, 	1, 	1.216
2, 	31.471, 	38, 	18.9291, 	1, 	1.216
2, 	31.471, 	38, 	18.7969, 	1, 	1.216
2, 	31.471, 	38, 	20.0263, 	1, 	1.52
2, 	31.471, 	38, 	19.4382, 	1, 	0.912
2, 	31.471, 	38, 	19.3748, 	1, 	1.216
2, 	31.471, 	38, 	18.9396, 	1, 	1.216
2, 	31.471, 	38, 	14.7045, 	1, 	1.216
2, 	31.471, 	38, 	18.9361, 	1, 	1.52
2, 	31.471, 	38, 	19.698, 	1, 	1.52
2, 	31.471, 	38, 	0, 	1, 	0.304
2, 	31.471, 	36, 	19.4256, 	1, 	0.304
2, 	31.471, 	36, 	13.7403, 	1, 	0.608
2, 	31.471, 	39, 	19.3337, 	1, 	0.912
2, 	31.471, 	39, 	19.3014, 	1, 	1.216
2, 	31.471, 	39, 	19.1861, 	1, 	1.216
2, 	31.471, 	39, 	18.6949, 	1, 	1.216
2, 	31.471, 	39, 	18.9899, 	1, 	1.52
2, 	31.471, 	39, 	19.1302, 	1, 	1.52
2, 	31.471, 	39, 	19.0821, 	1, 	1.824
2, 	31.471, 	39, 	19.9548, 	1, 	1.824
2, 	31.471, 	39, 	19.5173, 	1, 	0.912
2, 	31.471, 	39, 	19.2075, 	1, 	1.216
2, 	31.471, 	39, 	19.1635, 	1, 	0.912
2, 	31.471, 	39, 	18.8351, 	1, 	1.216
2, 	31.471, 	39, 	19.5317, 	1, 	0.912
2, 	31.471, 	39, 	19.6166, 	1, 	1.216
2, 	31.471, 	39, 	18.66, 	1, 	1.52
2, 	31.471, 	39, 	18.1651, 	1, 	1.216
2, 	31.471, 	39, 	17.9488, 	1, 	1.216
2, 	31.471, 	39, 	19.2694, 	1, 	1.216
2, 	31.471, 	39, 	19.3347, 	1, 	0.912
2, 	31.471, 	39, 	18.8553, 	1, 	1.216
2, 	31.471, 	39, 	19.4953, 	1, 	1.52
2, 	31.471, 	39, 	12.7148, 	1, 	1.52
2, 	31.471, 	39, 	19.5704, 	1, 	1.52
2, 	31.471, 	39, 	18.7742, 	1, 	1.824
2, 	31.471, 	39, 	19.5085, 	1, 	1.52
2, 	31.471, 	39, 	12.9726, 	1, 	1.52
2, 	31.471, 	38, 	20.5267, 	1, 	1.216
2, 	31.471, 	38, 	19.8531, 	1, 	1.216
2, 	31.471, 	38, 	18.9233, 	1, 	1.52
2, 	31.471, 	38, 	19.1628, 	1, 	1.52
2, 	31.471, 	38, 	13.3102, 	1, 	1.824
2, 	31.471, 	39, 	18.7326, 	1, 	2.128
