0:(0,0);(0,0);(0,0);(0,0)
1:(0,0);(0,0);(0,0);(0,0)
2:(0,0);(0,0);(0,0);(0,0)
3:(0,0);(0,0);(0,0);(0,0)
4:(0.00158449,4.8201e-05);(-0.00156937,-0.000337246);(0.00140262,0.00064395);(-0.00119097,-0.00104442)
5:(0.00161889,8.64357e-05);(-0.00151924,-0.000361418);(0.00144659,0.000690369);(-0.00123435,-0.00105326)
6:(0.0015652,3.70262e-05);(-0.00154607,-0.000322493);(0.00142221,0.00068504);(-0.00126084,-0.00100747)
7:(0.00159164,3.47699e-05);(-0.00156282,-0.000348647);(0.0014236,0.000754177);(-0.00121512,-0.00104028)
8:(0.00152381,1.90842e-05);(-0.00157409,-0.000362503);(0.00138715,0.000762531);(-0.00124729,-0.00106069)
9:(0.001585,9.74289e-06);(-0.00151896,-0.000416688);(0.00139372,0.000727513);(-0.00123485,-0.00108081)
10:(0.00153486,4.89453e-05);(-0.00153162,-0.00035479);(0.00139284,0.000667601);(-0.00120204,-0.000980752)
11:(0.00156768,8.40833e-05);(-0.00153474,-0.000299314);(0.00141995,0.000713736);(-0.00125611,-0.00103423)
12:(0.00159071,3.68097e-05);(-0.00154744,-0.000380513);(0.00140463,0.000742684);(-0.00125889,-0.00104332)
13:(0.00156908,6.34041e-05);(-0.00153558,-0.00036133);(0.00142286,0.000729311);(-0.00120312,-0.00103946)
14:(0.00158444,4.32832e-05);(-0.00156583,-0.000348253);(0.00135614,0.000740708);(-0.00123676,-0.000999681)
15:(0.00156205,2.32355e-05);(-0.00155927,-0.000380525);(0.00142072,0.000714681);(-0.00123906,-0.00105216)
16:(0.00159275,8.42521e-05);(-0.00153847,-0.000367623);(0.00139829,0.000695149);(-0.00117144,-0.00096301)
17:(0.00156573,8.54171e-05);(-0.00155253,-0.000375685);(0.00138936,0.000705725);(-0.00118541,-0.00100957)
18:(0.00160064,0.000101315);(-0.00157625,-0.000358753);(0.00141469,0.000736436);(-0.00119319,-0.000976014)
19:(0.0015568,7.16524e-05);(-0.00156676,-0.000402665);(0.00145246,0.000770406);(-0.00120887,-0.00101473)
20:(0.00160332,1.2564e-05);(-0.00155301,-0.000404776);(0.00141548,0.000728224);(-0.00120969,-0.00104988)
21:(0.00159036,1.76122e-05);(-0.00152682,-0.000341937);(0.00141994,0.000714443);(-0.00116599,-0.00110991)
22:(0.00156744,5.25768e-05);(-0.00158397,-0.000352452);(0.00139115,0.000741824);(-0.00119867,-0.000996445)
23:(0.00154511,-1.25829e-05);(-0.00155401,-0.0003415);(0.00141727,0.000673522);(-0.00121094,-0.00102683)
24:(0.0015846,3.34187e-05);(-0.00151929,-0.000347673);(0.00144354,0.000741909);(-0.00124041,-0.00101728)
