0:(0,0);(0,0);(0,0);(0,0)
0:(0,0),(0,0),(0,0),(0,0).
1:(0,0),(0,0),(0,0),(0,0).
2:(0,0),(0,0),(0,0),(0,0).
3:(0,0),(0,0),(0,0),(0,0).
4:(0.000806553,6.4832e-05),(0.0003661,0.000734169),(-0.000459634,0.000652252),(-0.000738472,-0.000133523).
5:(0.000797535,2.55989e-05),(0.000361263,0.000678871),(-0.000472084,0.000652135),(-0.000794345,-0.000131007).
6:(0.000791097,2.82744e-05),(0.000328181,0.00073943),(-0.00042207,0.000617974),(-0.000795616,-8.46633e-05).
7:(0.000788476,8.05068e-05),(0.000357591,0.00068821),(-0.000479328,0.000600582),(-0.000798308,-7.33907e-05).
8:(0.000743219,6.56414e-05),(0.000338514,0.000705681),(-0.000462853,0.000618128),(-0.000818622,-9.43961e-05).
9:(0.000795807,3.69049e-05),(0.000363851,0.000747171),(-0.000460742,0.00064683),(-0.000745373,-0.000127999).
10:(0.000737166,2.93848e-05),(0.00032052,0.000779753),(-0.000473157,0.000654104),(-0.000808657,-0.000113814).
11:(0.000787715,4.64166e-05),(0.000283837,0.000704681),(-0.000489634,0.000685821),(-0.000790955,-0.000109793).
12:(0.000826268,6.86513e-06),(0.000306125,0.000713156),(-0.000403089,0.000611642),(-0.000758695,-0.00016162).
13:(0.000771257,1.27854e-05),(0.000343377,0.000702871),(-0.000463958,0.000638349),(-0.000763607,-0.000145704).
14:(0.000814795,4.14964e-05),(0.000325649,0.000688944),(-0.000467159,0.000646558),(-0.000795549,-0.000129273).
15:(0.000815012,2.27985e-05),(0.000315952,0.000712985),(-0.000471988,0.000683481),(-0.000780717,-9.66024e-05).
16:(0.000825625,4.10271e-05),(0.000302487,0.000697095),(-0.000431181,0.000630725),(-0.000764637,-8.08813e-05).
17:(0.000845939,-9.35799e-06),(0.000344186,0.000737353),(-0.000473528,0.000636744),(-0.000761757,-8.12889e-05).
18:(0.000824908,4.11801e-05),(0.000315936,0.000669583),(-0.000450533,0.000626691),(-0.000756864,-0.000131548).
19:(0.000764132,4.58181e-05),(0.000349294,0.000797915),(-0.000447947,0.00062325),(-0.0007796,-9.13863e-05).
20:(0.000798882,9.15162e-05),(0.00032206,0.000691799),(-0.000442312,0.000652729),(-0.000740957,-0.000105173).
21:(0.000777247,3.897e-05),(0.000343752,0.000700396),(-0.000436113,0.000658898),(-0.000773457,-0.000103815).
22:(0.000748299,4.26274e-05),(0.000299214,0.000728266),(-0.000436409,0.000647615),(-0.000774943,-0.00014453).
23:(0.000797045,4.08437e-05),(0.00034262,0.000734858),(-0.000467887,0.000626112),(-0.000774942,-9.67127e-05).
24:(0.000777432,7.4036e-05),(0.000312923,0.000726777),(-0.000493891,0.000669724),(-0.000829536,-0.000142815).
