(-0.800637,-1.46533);(-1.96264,-1.85388);(-1.42687,0.180478);(-1.23522,0.492783);
18:52:53.054, 	1, 	2, 	22.0826, 	26.1534, 	1, 	1.38778e-15, 	1.52, 	(0.922928,0.164705);16:57:58.232, 	1, 	1, 	15.5033, 	9.43449, 	0, 	-1.38778e-15, 	3.636, 	(-0.619058,0.661358);(1.11505,-0.790384);(-0.569885,1.22097);(-0.224491,-1.20064);
16:58:00.799, 	1, 	2, 	14.9857, 	21.6626, 	1, 	-1.38778e-15, 	3.636, 	(-0.0428715,0.483421);
16:58:00.885, 	1, 	2, 	15.1118, 	21.3062, 	1, 	-1.38778e-15, 	3.636, 	(-0.507648,-0.0480086);
16:58:00.985, 	1, 	2, 	14.3182, 	22.1131, 	1, 	-1.38778e-15, 	3.636, 	(0.221454,-0.455085);
16:58:01.085, 	1, 	2, 	15.4297, 	23.3567, 	1, 	-1.38778e-15, 	3.636, 	(0.11387,0.512553);
16:58:01.292, 	1, 	2, 	15.4624, 	23.1313, 	1, 	-1.38778e-15, 	3.636, 	(-0.1458,-0.507656);
16:58:01.485, 	1, 	2, 	14.3472, 	23.9649, 	1, 	-1.38778e-15, 	3.636, 	(-0.0886616,-0.514619);
16:58:01.586, 	1, 	2, 	14.6134, 	18.747, 	1, 	-1.38778e-15, 	3.636, 	(0.210709,0.310744);
16:58:01.686, 	1, 	2, 	13.0974, 	22.9081, 	1, 	-1.38778e-15, 	3.636, 	(-0.412802,-0.141046);
16:58:01.786, 	1, 	2, 	14.4631, 	19.3113, 	1, 	-1.38778e-15, 	3.636, 	(0.268367,0.175769);
16:58:01.885, 	0, 	2, 	15.1734, 	17.0267, 	1, 	-1.38778e-15, 	3.636, 	(-0.0745323,0.111283);
16:58:01.986, 	1, 	2, 	14.5498, 	15.1156, 	1, 	4, 	3.636, 	(0.127904,0.00963683);
16:58:02.086, 	0, 	2, 	15.2756, 	7.91571, 	1, 	4, 	3.636, 	(0.0230372,-0.0360817);
16:58:02.186, 	0, 	2, 	14.0234, 	12.9226, 	0, 	8, 	3.232, 	(-0.055228,-0.073032);
16:58:02.290, 	1, 	2, 	14.1761, 	20.9552, 	1, 	12, 	2.828, 	(-0.00736808,-0.420086);
16:58:02.386, 	1, 	2, 	14.4547, 	24.7856, 	1, 	12, 	2.828, 	(-0.21474,-0.519764);
16:58:02.499, 	1, 	2, 	14.7302, 	24.9866, 	1, 	12, 	2.828, 	(0.283165,0.461291);
16:58:02.587, 	1, 	2, 	15.2992, 	24.2528, 	1, 	12, 	2.828, 	(-0.30865,-0.422647);
16:58:02.787, 	0, 	2, 	15.2083, 	15.606, 	1, 	12, 	2.828, 	(0.137308,0.0272848);
16:58:02.887, 	0, 	2, 	14.9025, 	14.2602, 	0, 	16, 	2.424, 	(0.0482565,0.0898688);
16:58:02.987, 	1, 	2, 	14.3828, 	18.1184, 	1, 	20, 	2.424, 	(0.0038244,0.189151);
16:58:03.087, 	1, 	2, 	14.6077, 	18.2222, 	1, 	20, 	2.424, 	(-0.122588,-0.383275);
16:58:03.187, 	1, 	2, 	15.1614, 	25.2482, 	1, 	20, 	2.828, 	(-0.578873,0.112562);
16:58:03.287, 	1, 	2, 	14.6391, 	20.8192, 	1, 	20, 	3.232, 	(-0.24596,-0.302669);
16:58:03.388, 	0, 	2, 	14.1201, 	7.90335, 	1, 	20, 	3.232, 	(0.0141994,0.0443298);
16:58:03.487, 	1, 	2, 	15.1899, 	21.5944, 	1, 	24, 	2.828, 	(0.299308,-0.0994308);
16:58:03.588, 	0, 	2, 	14.6136, 	19.0797, 	1, 	24, 	2.828, 	(-0.267135,0.0259075);
16:58:03.687, 	0, 	2, 	14.5536, 	14.525, 	0, 	28, 	2.424, 	(0.116512,0.0798371);
16:58:03.788, 	0, 	2, 	15.1225, 	8.29918, 	0, 	32, 	2.02, 	(-0.0233924,0.031131);
16:58:03.845, 	1, 	1, 	15.8914, 	8.17555, 	0, 	36, 	2.02, 	(0.310399,-0.9303);(-0.557982,1.22938);(-0.120201,-1.03027);(0.605944,0.726507);
16:58:03.888, 	1, 	2, 	14.8008, 	24.1444, 	1, 	36, 	2.02, 	(-0.186086,0.521527);
16:58:04.045, 	1, 	1, 	14.6864, 	8.04829, 	0, 	36, 	1.616, 	(0.265813,-0.233602);(-0.610615,0.140567);(0.989068,-0.811357);(-0.245714,1.07422);
16:58:04.145, 	0, 	1, 	15.6204, 	8.65632, 	0, 	36, 	1.616, 	(0.92161,0.0821068);(-1.23136,-0.229147);(1.40022,-0.414349);(-0.818106,0.990458);
16:58:04.195, 	1, 	1, 	16.1761, 	8.52443, 	0, 	40, 	0.808, 	(0.988887,0.0980631);(-1.35083,-0.308451);(1.13859,-0.356144);(-0.67861,0.823358);
16:58:04.245, 	1, 	1, 	14.0739, 	9.20961, 	0, 	40, 	0.808, 	(0.393674,-0.217988);(-0.702273,0.117289);(1.11521,-0.775887);(-0.353742,1.1121);
16:58:04.295, 	1, 	1, 	15.3442, 	8.86101, 	0, 	36, 	0.404, 	(-0.729334,0.0595208);(1.085,0.139464);(-1.40687,0.515329);(0.734115,-1.09751);
16:58:04.396, 	1, 	1, 	15.7486, 	8.86101, 	0, 	36, 	0.404, 	(-0.729334,0.0595208);(1.085,0.139464);(-1.40687,0.515329);(0.734115,-1.09751);
16:58:04.496, 	1, 	1, 	15.0512, 	7.11877, 	0, 	32, 	0.404, 	(0.0586406,-0.784269);(-0.385282,1.13483);(-0.268757,-1.45124);(0.945372,0.904374);
16:58:04.546, 	1, 	1, 	14.2622, 	7.83431, 	0, 	28, 	0.404, 	(0.359087,0.427481);(-0.237609,-0.942975);(0.993126,1.04692);(-1.25802,-0.193115);
16:58:04.688, 	0, 	2, 	14.488, 	18.0917, 	0, 	28, 	0.404, 	(0.210914,-0.0342419);
16:58:04.788, 	1, 	2, 	14.6071, 	24.8857, 	1, 	32, 	0.404, 	(-0.520849,0.278549);
16:58:04.847, 	1, 	1, 	14.5548, 	10.507, 	0, 	32, 	0.404, 	(0.71976,-0.673926);(-1.10777,0.817477);(0.448217,-1.05403);(0.190846,1.02695);
16:58:04.888, 	0, 	2, 	15.5932, 	13.34, 	0, 	32, 	0.404, 	(0.0380841,0.0244758);
16:58:04.904, 	1, 	1, 	15.2681, 	10.0661, 	0, 	32, 	0.404, 	(-0.362529,0.940173);(0.548115,-1.22228);(0.122318,1.09077);(-0.621174,-0.77098);
16:58:04.998, 	1, 	1, 	14.9002, 	7.79713, 	0, 	28, 	0.404, 	(-0.619381,-0.654498);(0.671607,1.23913);(-1.14195,-0.691896);(1.20185,-0.0964162);
16:58:05.089, 	1, 	2, 	15.8967, 	24.131, 	1, 	28, 	0.808, 	(-0.439576,-0.276593);
16:58:05.189, 	0, 	2, 	15.2078, 	15.2708, 	1, 	28, 	0.808, 	(-0.116026,0.113084);
16:58:05.289, 	1, 	2, 	14.8831, 	24.5793, 	1, 	32, 	1.212, 	(-0.348482,-0.451533);
16:58:05.348, 	0, 	1, 	14.6319, 	7.94692, 	1, 	32, 	1.212, 	(-0.385214,-0.133503);(0.48255,0.483304);(-1.25528,-0.394411);(1.07626,-0.392399);
16:58:05.389, 	1, 	2, 	15.4834, 	25.1153, 	1, 	32, 	1.616, 	(-0.558001,0.0193026);
16:58:05.403, 	0, 	1, 	15.0132, 	9.33443, 	1, 	32, 	1.616, 	(0.0420357,0.390534);(0.282883,-0.658247);(0.119646,1.30513);(-0.796707,-0.840405);
16:58:05.449, 	0, 	1, 	15.4398, 	9.34222, 	0, 	36, 	1.212, 	(-0.507151,-0.00863638);(0.689739,0.0574115);(-1.32203,0.376146);(0.738502,-0.933416);
16:58:05.499, 	1, 	1, 	16.1465, 	8.82944, 	0, 	32, 	1.212, 	(-0.613302,-0.287018);(0.772604,0.910183);(-1.39232,-0.461333);(1.25413,-0.425525);
16:58:05.549, 	1, 	1, 	14.7614, 	8.5385, 	0, 	28, 	1.212, 	(0.22991,0.450914);(-0.161551,-0.77284);(0.86087,1.10713);(-1.18839,-0.313126);
16:58:05.703, 	1, 	2, 	15.2411, 	23.5891, 	1, 	28, 	1.616, 	(0.342015,0.379057);
16:58:05.893, 	0, 	2, 	0.541251, 	0.393116, 	1, 	28, 	1.616, 	(0.00522699,-0.00403227);
16:58:05.990, 	0, 	2, 	14.2161, 	16.7292, 	0, 	32, 	1.212, 	(0.0707283,0.167365);
16:58:06.050, 	1, 	1, 	14.5728, 	11.9113, 	0, 	32, 	0.808, 	(-0.546195,0.882708);(0.735734,-1.11013);(-0.084702,1.17158);(-0.493056,-0.920829);
16:58:06.089, 	1, 	2, 	14.254, 	18.7069, 	1, 	32, 	1.212, 	(-0.169023,0.24171);
16:58:06.100, 	0, 	1, 	15.6465, 	8.57619, 	1, 	32, 	1.212, 	(0.0020985,0.894238);(0.264264,-1.31621);(0.436545,1.32929);(-1.01848,-0.753482);
16:58:06.150, 	0, 	1, 	15.3422, 	10.1188, 	0, 	36, 	0.808, 	(-1.0119,-0.200732);(1.30876,0.294111);(-1.06414,0.343636);(0.649144,-0.763485);
16:58:06.215, 	0, 	1, 	14.6546, 	8.01191, 	0, 	40, 	0.808, 	(0.524208,-0.0717445);(-0.80822,-0.133071);(1.35933,-0.404842);(-0.731134,0.983974);
16:58:06.250, 	1, 	1, 	14.9588, 	9.4321, 	0, 	44, 	0.808, 	(-0.667129,-0.739395);(0.820915,1.06829);(-0.963771,-0.382709);(0.935069,-0.190528);
16:58:06.350, 	0, 	1, 	15.1634, 	10.0592, 	0, 	44, 	0.808, 	(-0.696182,0.678263);(1.04311,-0.833186);(-0.332569,0.916872);(-0.212449,-0.879628);
16:58:06.400, 	1, 	1, 	14.6329, 	8.66539, 	0, 	44, 	0.404, 	(-0.553031,-0.323006);(0.71257,0.520291);(-1.43899,-0.316139);(1.16762,-0.507505);
16:58:06.451, 	0, 	1, 	15.5762, 	9.81679, 	0, 	44, 	0.404, 	(-0.550514,0.0501432);(0.967572,-1.4211);(-0.649682,0.717629);(-0.232624,-0.653327);
16:58:06.501, 	0, 	1, 	16.192, 	7.93978, 	0, 	48, 	0.404, 	(-0.58023,0.654678);(1.28946,-0.739263);(-0.569564,1.0506);(-0.201703,-1.11075);
16:58:06.551, 	1, 	1, 	13.9372, 	7.64657, 	0, 	48, 	0.404, 	(-0.385761,-0.0518612);(0.567031,0.321771);(-1.29853,-0.0880818);(0.93636,-0.640476);
16:58:06.601, 	1, 	1, 	15.2123, 	10.066, 	0, 	48, 	-1.42109e-16, 	(-0.599226,-0.00585868);(0.956039,0.609064);(-1.43648,-0.0207641);(1.02625,-0.810352);
